Product,Price,Rating,No. of reviews,Link
"WOW Apple Cider Vinegar No Parabens & Sulphate Shampoo, 300mL",319.00,3.9 out of 5 stars,"5,746",https://www.amazon.in//WOW-Vinegar-Sulphate-Parabens-Shampoo/dp/B01M9EB7ZK?_encoding=UTF8&psc=1
Wow Omega-3 Fish Oil 1000 mg Triple Strength 550 mg EPA 350 mg - 60 Capsules,549.00,4.3 out of 5 stars,"1,648",https://www.amazon.in//Omega-3-Fish-1000-Triple-Strength/dp/B0748HQW6C?_encoding=UTF8&psc=1
"WOW Aloe Vera Multipurpose Beauty Gel for Skin and Hair, 130ml",229.00,4.3 out of 5 stars,"1,326",https://www.amazon.in//WOW-Aloe-Multipurpose-Beauty-130ml/dp/B078Z9JWRW?_encoding=UTF8&psc=1
WOW Raw Apple Cider Vinegar - 750 ml,349.00,4.2 out of 5 stars,"2,702",https://www.amazon.in//WOW-Raw-Apple-Cider-Vinegar/dp/B01AC9G656?_encoding=UTF8&psc=1
"All Natural Peanut Butter Crunchy (1 kg) (Unsweetened, Non-GMO, Gluten Free, Vegan)",399.00,4.4 out of 5 stars,"1,922",https://www.amazon.in//Pintola-Natural-Crunchy-Unsweetened-Non-GMO/dp/B06XFSSDNH?_encoding=UTF8&psc=1
Ustraa Beard Growth Oil for Men - 35ml for Beard Growth,319.00,3.6 out of 5 stars,536,https://www.amazon.in//Ustraa-Beard-Growth-Oil-35/dp/B07CKPWJ6X?_encoding=UTF8&psc=1
"BEARDO Hair Wax, Strong Hold, 75g",172.00,3.5 out of 5 stars,791,https://www.amazon.in//BEARDO-Hair-Wax-Strong-Hold/dp/B01MTKVETT?_encoding=UTF8&psc=1
"MuscleBlaze Raw Whey Protein Concentrate 80% with added digestive enzymes (Unflavoured, 1 kg / 2.2 lb)","1,299.00",3.9 out of 5 stars,"1,609",https://www.amazon.in//MuscleBlaze-Raw-Whey-Protein-Unflavoured/dp/B06XGNT22C?_encoding=UTF8&psc=1
"WOW Coconut & Avocado Oil No Parabens & Sulphate Hair Conditioner, 300mL",319.00,4.1 out of 5 stars,"2,544",https://www.amazon.in//WOW-science-conditioner-organic-coconut/dp/B01ND1R7Y0?_encoding=UTF8&psc=1
Bombay Shaving Company Beard Growth Oil For Men- 30ml,240.00,4.2 out of 5 stars,176,https://www.amazon.in//Bombay-Shaving-Company-Beard-Growth/dp/B07H83VQ4Z?_encoding=UTF8&psc=1
Urbangabru Hair Wax Zero To Infinity For Strong Hold And Volume 100 Grams,280.00,4.3 out of 5 stars,"2,419",https://www.amazon.in//UrbanGabru-Zero-Infinity-Hair-Strong/dp/B073XQ8QXK?_encoding=UTF8&psc=1
"Beardhood Charcoal Peel-Off Mask, 100g",240.00,4.1 out of 5 stars,"2,377",https://www.amazon.in//Beardhood-Charcoal-Peel-Mask-Black/dp/B07BH645KX?_encoding=UTF8&psc=1
"POLE STAR ""HERO"" 32 Lt Sky & Navy Casual Backpack I bagpack",399.00,3.9 out of 5 stars,"1,486",https://www.amazon.in//POLE-STAR-Casual-Backpack-bagpack/dp/B074G3TJYF?_encoding=UTF8&psc=1
"Wow Biotin Maximum Strength Veg Capsule 10,000 mcg - 60 Count",449.00,4.0 out of 5 stars,876,https://www.amazon.in//Wow-Biotin-Maximum-Strength-Capsule/dp/B0748GTC5Q?_encoding=UTF8&psc=1
Oddy Uniwraps Food Wrapping Paper,135.00 -    419.00,4.3 out of 5 stars,396,https://www.amazon.in//Oddy-Uniwraps-Food-Wrapping-Paper/dp/B07LG1237C
Oddy Uniwraps Baking and Cooking Paper,155.00 -    500.00,4.6 out of 5 stars,"1,249",https://www.amazon.in//Oddy-Uniwraps-Baking-Cooking-Paper/dp/B07FB8HKDS
Natural Peanut Butter Crunch 1kg (Unsweetened),395.00,4.2 out of 5 stars,"1,445",https://www.amazon.in//Alpino-Natural-Peanut-Butter-Unsweetened/dp/B077S4V3V9?_encoding=UTF8&psc=1
"Leaf Bass Wireless Bluetooth Headphones with Hi-Fi Mic and 10 Hours Battery Life, Over Ear Headphones with Super Soft Cushions and Deep Bass (Carbon Black)",949.00,3.7 out of 5 stars,359,https://www.amazon.in//Leaf-Wireless-Bluetooth-Headphones-Cushions/dp/B07DNTF5TQ?_encoding=UTF8&psc=1
Beardo Beard and Hair Growth Oil - 50 ml,523.00,2.9 out of 5 stars,"1,580",https://www.amazon.in//Beardo-Beard-Hair-Growth-Oil/dp/B01C8FM764?_encoding=UTF8&psc=1
"Beardo Activated Charcoal Acne Oil and Pollution Control Face Wash, 100ml",212.00,3.1 out of 5 stars,516,https://www.amazon.in//Beardo-Activated-Charcoal-Pollution-Control/dp/B071CMCRXG?_encoding=UTF8&psc=1
