Product,Price,Rating,No. of reviews,Link
"MamyPoko Pants Extra Absorb Diaper, Medium (Pack of 76)",709.00,4.2 out of 5 stars,"9,951",https://www.amazon.in//MamyPoko-Pants-Absorb-Diaper-Medium/dp/B07KFP92L2?_encoding=UTF8&psc=1
"MamyPoko Pants Extra Absorb Diaper, Extra Large (Pack of 56)",709.00,4.2 out of 5 stars,"9,951",https://www.amazon.in//MamyPoko-Pants-Extra-Absorb-Diaper/dp/B07KFVVDGF?_encoding=UTF8&psc=1
"MamyPoko Pants Extra Absorb Diaper, Large (Pack of 64)",709.00,4.2 out of 5 stars,"9,951",https://www.amazon.in//MamyPoko-Pants-Extra-Absorb-Diaper/dp/B07KFFN72W?_encoding=UTF8&psc=1
"Pampers New Diapers Pants, XL (56 Count)",766.00,3.9 out of 5 stars,"10,583",https://www.amazon.in//Pampers-New-Diapers-Pants-Count/dp/B07CXGJKXL?_encoding=UTF8&psc=1
"Pampers New Diapers Pants, Large (64 Count)",703.00,3.9 out of 5 stars,"10,583",https://www.amazon.in//Pampers-Large-Diapers-Pants-Count/dp/B07CXFJT8Q?_encoding=UTF8&psc=1
Huggies Wonder Pants Extra Large Size Diapers (54 Count),664.00,3.8 out of 5 stars,"19,436",https://www.amazon.in//Huggies-Wonder-Pants-Extra-Diapers/dp/B072QLWZ54?_encoding=UTF8&psc=1
"Pampers New Diapers Pants Monthly Box Pack, Large (Pack of 128)","1,332.00",3.9 out of 5 stars,"10,583",https://www.amazon.in//Pampers-Large-Diapers-Pants-Monthly/dp/B07CWZM1V7?_encoding=UTF8&psc=1
"Pampers New Diapers Pants, Medium (76 Count)",703.00,3.9 out of 5 stars,"10,583",https://www.amazon.in//Pampers-Diapers-Pants-Medium-Count/dp/B07DP24NSR?_encoding=UTF8&psc=1
"Pampers New Diapers Pants Monthly Box Packs, X-Large (112 Count)","1,359.00",3.9 out of 5 stars,"10,583",https://www.amazon.in//Pampers-Diapers-Pants-X-Large-Count/dp/B07CXGS2VZ?_encoding=UTF8&psc=1
"Johnson's Baby Wipes, Pack of 2 (160 Wet Wipes)",327.00,4.2 out of 5 stars,"3,460",https://www.amazon.in//Johnsons-Baby-Wipes-Pack-wipes/dp/B00EZQ5DD4?_encoding=UTF8&psc=1
Huggies Wonder Pants Large Size Diapers (60 Count),657.00,3.8 out of 5 stars,"19,436",https://www.amazon.in//Huggies-Wonder-Pants-Large-Diapers/dp/B071JTH5DF?_encoding=UTF8&psc=1
