Product,Price,Rating,No. of reviews,Link
"Lotus Herbals Safe Sun UV Screen Matte Gel, SPF 50, 100g",330.00,4.2 out of 5 stars,"1,342",https://www.amazon.in//Lotus-Herbals-Safe-Screen-Matte/dp/B00K851OIE?_encoding=UTF8&psc=1
"Lakme Eyeconic Kajal Twin Pack, Black, 0.35g with 0.35g",232.00,4.3 out of 5 stars,252,https://www.amazon.in//Lakme-Eyeconic-Kajal-Black-0-35g/dp/B07GFJP3N2?_encoding=UTF8&psc=1
"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",172.00,4.2 out of 5 stars,"4,729",https://www.amazon.in//Vaseline-Intensive-Restore-Lotion-400ml/dp/B074V6DMLF?_encoding=UTF8&psc=1
"Biotique Bio Papaya Revitalizing Tan Removal Scrub for All Skin Types, 75g",138.00,4.1 out of 5 stars,"1,598",https://www.amazon.in//Biotique-Papaya-Revitalizing-Removal-Scrub/dp/B004X33GGA?_encoding=UTF8&psc=1
"WOW Apple Cider Vinegar No Parabens & Sulphate Shampoo, 300mL",319.00,3.9 out of 5 stars,"5,746",https://www.amazon.in//WOW-Vinegar-Sulphate-Parabens-Shampoo/dp/B01M9EB7ZK?_encoding=UTF8&psc=1
"Indulekha Bhringa Hair Oil, 100ml",367.00,3.1 out of 5 stars,"4,276",https://www.amazon.in//Indulekha-Bhringa-Hair-Oil-100ml/dp/B00S850C5C?_encoding=UTF8&psc=1
"Neutrogena Ultra Sheer Dry Touch Sunblock, SPF 50+, 30ml",170.00,4.0 out of 5 stars,"1,373",https://www.amazon.in//Neutrogena-Ultra-Sheer-Dry-Touch-Sunblock/dp/B00G7RTYT8?_encoding=UTF8&psc=1
"Lakme Eyeconic Kajal, Deep Black, 0.35g",152.00,4.1 out of 5 stars,"4,422",https://www.amazon.in//Lakme-Eyeconic-Kajal-Black-0-35g/dp/B0798KV8S6?_encoding=UTF8&psc=1
"Lakme Sun Expert Ultra Matte SPF 40 PA+++ Compact, 7g",187.00,3.7 out of 5 stars,715,https://www.amazon.in//Lakme-Expert-Ultra-Matte-Compact/dp/B079NHBY1Y?_encoding=UTF8&psc=1
"Neutrogena Ultra Sheer Dry Touch Sunblock, SPF 50+, 88ml",415.00,4.1 out of 5 stars,"1,192",https://www.amazon.in//Neutrogena-Ultra-Sheer-Dry-Touch-Sunblock/dp/B000EPA4GQ?_encoding=UTF8&psc=1
"Nivea Nourishing Lotion Body Milk with Deep Moisture Serum and 2x Almond Oil for Very Dry Skin, 400ml",267.00,4.4 out of 5 stars,"4,728",https://www.amazon.in//Nivea-Nourishing-Lotion-Moisture-Almond/dp/B00IJ72QWQ?_encoding=UTF8&psc=1
"Dove Cream Beauty Bathing Bar, 100g (Buy 4 Get 1 Free)",235.00,4.5 out of 5 stars,702,https://www.amazon.in//Dove-Cream-Beauty-Bathing-100g/dp/B0744LDS2H?_encoding=UTF8&psc=1
"Aroma Magic Neem And Tea Tree Face Wash, 100ml",120.00,4.1 out of 5 stars,"1,220",https://www.amazon.in//Aroma-Magic-Neem-Tree-100ml/dp/B00DRE2S0G?_encoding=UTF8&psc=1
"WOW Aloe Vera Multipurpose Beauty Gel for Skin and Hair, 130ml",229.00,4.3 out of 5 stars,"1,326",https://www.amazon.in//WOW-Aloe-Multipurpose-Beauty-130ml/dp/B078Z9JWRW?_encoding=UTF8&psc=1
"Maybelline Hyper Glossy Liquid Liner, Black, 3g",180.00,4.0 out of 5 stars,"1,383",https://www.amazon.in//Maybelline-Hyper-Glossy-Liquid-Liner/dp/B00D161WOI?_encoding=UTF8&psc=1
"Lotus Herbals Whiteglow Skin Whitening And Brightening Gel Creme, SPF-25, 60g",280.00,3.8 out of 5 stars,"1,792",https://www.amazon.in//Lotus-Herbals-Whiteglow-Whitening-Brightening/dp/B00791FFMG?_encoding=UTF8&psc=1
"Lakme 9 to 5 Complexion Care Face Cream, Beige, 30g",210.00,4.0 out of 5 stars,"1,949",https://www.amazon.in//Lakme-Complexion-Care-Cream-Beige/dp/B01BBNF6GM?_encoding=UTF8&psc=1
"Pears Pure And Gentle Bathing Bar, 125g (Pack Of 5)",Rs. 212.00,4.5 out of 5 stars,820,https://www.amazon.in//Pears-Pure-Gentle-Bathing-125g/dp/B0744K8LWY?_encoding=UTF8&psc=1
"Lakme Perfect Radiance Fairness Day Crème, 50g",233.00,3.6 out of 5 stars,"1,393",https://www.amazon.in//Lakme-Perfect-Radiance-Fairness-Cr%C3%A8me/dp/B01C571752?_encoding=UTF8&psc=1
"NIVEA MEN Hair, Face & Body Wash, Active Clean Shower Gel, 250ml",122.00,4.1 out of 5 stars,885,https://www.amazon.in//Nivea-Active-Clean-Shower-250ml/dp/B00XRJBOBA?_encoding=UTF8&psc=1
"Biotique Morning Nectar Flawless Skin Lotion for All Skin Types, 190ml",181.00,4.3 out of 5 stars,942,https://www.amazon.in//Biotique-Morning-Nectar-Flawless-Lotion/dp/B006NVDWGE?_encoding=UTF8&psc=1
"Olay Total Effects Day Cream 7 in 1 Normal SPF 15 (Up to 2x power for skin renewal), 50gm",445.00,3.5 out of 5 stars,401,https://www.amazon.in//Olay-Total-Effects-Normal-renewal/dp/B00ENZT4M8?_encoding=UTF8&psc=1
"Maybelline New York Colossal Kajal, Black, 0.35g",152.00,3.7 out of 5 stars,"3,258",https://www.amazon.in//Maybelline-Colossal-Kajal-Black-0-35g/dp/B06WGZP21B?_encoding=UTF8&psc=1
"BEARDO Hair Wax, Strong Hold, 75g",172.00,3.5 out of 5 stars,791,https://www.amazon.in//BEARDO-Hair-Wax-Strong-Hold/dp/B01MTKVETT?_encoding=UTF8&psc=1
