Product,Price,Rating,No. of reviews,Link
Allen Solly Men's Polo,539.00,4.1 out of 5 stars,"2,230",https://www.amazon.in//Allen-Solly-Mens-Polo/dp/B07P898VNR
Fastrack UV protected Square Men's Sunglasses (P357BK1|41 millimeters|Smoke (Grey/Black)),559.00,3.9 out of 5 stars,902,https://www.amazon.in//Fastrack-protected-Sunglasses-P357BK1-millimeters/dp/B071CP6K43?_encoding=UTF8&psc=1
Jockey Men's Cotton T-Shirt,311.00 -    604.00,4.3 out of 5 stars,"1,157",https://www.amazon.in//Jockey-Mens-Cotton-T-Shirt/dp/B00W6TP27E
Jockey Women's Cotton Hipster (Pack of 3) (Colors may vary),301.00 -    599.00,3.7 out of 5 stars,"1,423",https://www.amazon.in//Jockey-Womens-Cotton-Hipster-Colors/dp/B010VU84CO
Jockey Men's Cotton Brief,124.00 -    399.00,4.0 out of 5 stars,"1,263",https://www.amazon.in//Jockey-Mens-Cotton-Brief/dp/B00X3R1ZO2
Diverse Men's Relaxed Fit Jeans,349.00,3.5 out of 5 stars,60,https://www.amazon.in//Diverse-Mens-Relaxed-Fit-Jeans/dp/B0759VD16Q
Marlin Women's Cotton Kurti With Palazzo Pant Set Kurti Palazzo set for women kurti palazzo set Beige Colour Kurti Palazzo set for girls plazzo suits for women LATEST Plazzo Sets for Women WITH kURTI,674.00 -    769.00,3.8 out of 5 stars,123,https://www.amazon.in//Marlin-Womens-Cotton-Palazzo-palazzo/dp/B07GL3RWG5
Jockey Men's Cotton Vest (Pack of 3) (Modern Classic),375.00 -    550.00,3.9 out of 5 stars,533,https://www.amazon.in//Jockey-Mens-Cotton-Vest-Pack/dp/B00W6SVLTI
Jockey Men's Cotton T-Shirt,315.00 -    599.00,4.3 out of 5 stars,769,https://www.amazon.in//Jockey-Mens-Cotton-T-Shirt/dp/B012T0S7M6
Katso Men's Cotton T-Shirt (Pack Of 1) (Katso-Hood-Full),298.00 -    358.00,3.9 out of 5 stars,"1,833",https://www.amazon.in//Katso-Mens-Cotton-T-Shirt-Katso-Hood-Full/dp/B01HQ0KCIQ
Vaamsi Women's A-Line Kurta,299.00,3.7 out of 5 stars,182,https://www.amazon.in//Vaamsi-Womens-A-Line-Kurta/dp/B07MHW82RG
"NAVYSPORT Men's Cotton Solid Ankle Socks, Pack of 3 (Multi-Coloured)",279.00,4.1 out of 5 stars,"1,230",https://www.amazon.in//Navy-Sport-Solid-Ankle-Length/dp/B073WX582T?_encoding=UTF8&psc=1
Lux VENUS Men's Cotton Vest (Pack of 6),250.00 -    510.00,4.1 out of 5 stars,164,https://www.amazon.in//Lux-VENUS-Mens-Cotton-Vest/dp/B072KSBFCK
Anni Designer Indian Women's Kalamkari Silk Saree with Blouse Piece,389.00 -    499.00,4.0 out of 5 stars,202,https://www.amazon.in//Designer-Indian-Womens-Kalamkari-Blouse/dp/B07MWK5VPW
VIMAL Men's Cotton Blend Track Pants,244.00 -    880.00,3.4 out of 5 stars,764,https://www.amazon.in//VIMAL-Cotton-Blend-Track-Pants/dp/B01194HU7Q
