Product,Price,Rating,No. of reviews,Link
Mi Band 3 (Black),"1,999.00",4.1 out of 5 stars,"14,837",https://www.amazon.in//Mi-XMSH05HM-Band-3-Black/dp/B07HCXQZ4P?_encoding=UTF8&psc=1
Mi Band - HRX Edition (Black),999.00,3.9 out of 5 stars,"8,667",https://www.amazon.in//Mi-Band-HRX-Edition-Black/dp/B075BCSFNN?_encoding=UTF8&psc=1
SanDisk Ultra Dual 32GB USB 3.0 OTG Pen Drive,549.00,4.2 out of 5 stars,"14,268",https://www.amazon.in//SanDisk-Ultra-Dual-32GB-Drive/dp/B01N5KHFG9?_encoding=UTF8&psc=1
SanDisk Cruzer Blade 32GB USB Flash Drive,399.00,4.2 out of 5 stars,"37,951",https://www.amazon.in//SanDisk-Cruzer-Blade-Flash-Drive/dp/B005FYNT3G?_encoding=UTF8&psc=1
SanDisk 32GB Class 10 Micro SDHC Memory Card with Adapter (SDSQUAR-032G-GN6MA),449.00,4.4 out of 5 stars,"8,459",https://www.amazon.in//SanDisk-Class-Memory-Adapter-SDSQUAR-032G-GN6MA/dp/B073JWXGNT?_encoding=UTF8&psc=1
Honor Band 4 (Black),"2,599.00",4.4 out of 5 stars,"3,017",https://www.amazon.in//Honor-Crius-B19-Band-4-Black/dp/B07KCN14PK?_encoding=UTF8&psc=1
SanDisk Ultra Dual 32GB USB 3.0 OTG Pen Drive (Gold),549.00,4.2 out of 5 stars,"2,718",https://www.amazon.in//SanDisk-Ultra-Dual-32GB-Drive/dp/B0734VLDTC?_encoding=UTF8&psc=1
Mi Body Composition Scale (White),"1,499.00",4.1 out of 5 stars,628,https://www.amazon.in//Mi-Body-Composition-Scale-White/dp/B07FGH36M5?_encoding=UTF8&psc=1
SanDisk Cruzer Blade SDCZ50-016G-135 16GB USB 2.0 Pen Drive,279.00,4.2 out of 5 stars,"37,951",https://www.amazon.in//SanDisk-Cruzer-Blade-SDCZ50-016G-135-Drive/dp/B002U1ZBG0?_encoding=UTF8&psc=1
SanDisk 64GB Class 10 microSDXC Memory Card with Adapter (SDSQUAR-064G-GN6MA),899.00,4.4 out of 5 stars,"8,459",https://www.amazon.in//SanDisk-microSDXC-Memory-Adapter-SDSQUAR-064G-GN6MA/dp/B073JYVKNX?_encoding=UTF8&psc=1
"Samsung EVO Plus Grade 1, Class 10 32GB MicroSDHC 95 MB/S Memory Card with SD Adapter (MB-MC32GA/IN)",448.00,4.4 out of 5 stars,"7,542",https://www.amazon.in//Samsung-MicroSDHC-Memory-Adapter-MB-MC32GA/dp/B06Y63B51W?_encoding=UTF8&psc=1
JioFi 4G Hotspot M2S 150 Mbps Jio 4G Portable Wi-Fi Data Device (Black),999.00,3.9 out of 5 stars,"7,457",https://www.amazon.in//JioFi-Hotspot-M2S-Portable-Device/dp/B075P7BLV5?_encoding=UTF8&psc=1
SanDisk Cruzer Blade 64GB USB 2.0 Flash Drive,710.00,4.1 out of 5 stars,"1,026",https://www.amazon.in//SanDisk-Cruzer-Blade-Flash-Drive/dp/B00BX5FOCK?_encoding=UTF8&psc=1
Sandisk U1  A1 98Mbps 16GB Ultra MicroSDHC (MicroSD) Memory Card,299.00,4.4 out of 5 stars,"8,459",https://www.amazon.in//SanDisk-Ultra-microSD-Adapter-SDSQUAR-016G-GN6MA/dp/B073K14CVB?_encoding=UTF8&psc=1
Logitech M235 Wireless Mouse for Windows and Mac - Black/Grey,699.00,4.4 out of 5 stars,"10,643",https://www.amazon.in//Logitech-M235-Wireless-Mouse-Grey/dp/B004IO5BMQ?_encoding=UTF8&psc=1
SanDisk Ultra Dual 64GB USB 3.0 OTG Pen Drive,999.00,4.2 out of 5 stars,"14,268",https://www.amazon.in//SanDisk-Ultra-Dual-64GB-Drive/dp/B01N6LU1VF?_encoding=UTF8&psc=1
"Samsung EVO Plus Grade 3, Class 10 64GB MicroSDXC 100 MB/S Memory Card with SD Adapter (MB-MC64GA/IN)",869.00,4.4 out of 5 stars,"2,877",https://www.amazon.in//Samsung-MicroSDXC-Memory-Adapter-MB-MC64GA/dp/B06Y5XBL8C?_encoding=UTF8&psc=1
HP X4E78AA 680 Combo-Pack Black & Tri-Color Ink Cartridges,"1,150.00",3.8 out of 5 stars,"2,207",https://www.amazon.in//HP-X4E78AA-Combo-Pack-Tri-Color-Cartridges/dp/B06ZZ62BN7?_encoding=UTF8&psc=1
HP X1000 Wired Mouse (Black/Grey),289.00,4.2 out of 5 stars,"5,520",https://www.amazon.in//HP-X1000-Wired-Mouse-Black/dp/B009VCGPSY?_encoding=UTF8&psc=1
Dell MS116 1000DPI USB Wired Optical Mouse,258.00,4.2 out of 5 stars,737,https://www.amazon.in//Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2?_encoding=UTF8&psc=1
TP-Link TL-WN725N 150Mbps Wireless N Nano USB Adapter (Black),449.00,4.2 out of 5 stars,"10,129",https://www.amazon.in//TP-Link-TL-WN725N-150Mbps-Wireless-Adapter/dp/B008IFXQFU?_encoding=UTF8&psc=1
Kingston DataTraveler 16GB USB 3.0 Flash Drive (Silver and Green),249.00,4.1 out of 5 stars,752,https://www.amazon.in//Kingston-DataTraveler-Flash-Drive-Silver/dp/B079TNZPHX?_encoding=UTF8&psc=1
"K3 PUBG Mobile Game Controller, Gamers Yard 1 Pair Sensitive Game Triggers for PUBG/Knives Out/Rules of Survival L1R1 Game Joysticks Gamepad for Android iOS Phones Transparent (Metal)",79.00,2.7 out of 5 stars,73,https://www.amazon.in//Controller-Sensitive-Triggers-Joysticks-Transparent/dp/B07J42SGH7?_encoding=UTF8&psc=1
"Seagate Expansion 1.5TB USB 3.0 Portable 2.5 Inch External Hard Drive for PC, Xbox One and Playstation 4","4,199.00",4.1 out of 5 stars,"2,993",https://www.amazon.in//Seagate-Expansion-Portable-External-Playstation/dp/B007IREFE0?_encoding=UTF8&psc=1
