Product,Price,Rating,No. of reviews,Link
"Redmi 6 Pro (Black, 3GB RAM, 32GB Storage)","7,999.00",4.2 out of 5 stars,"6,234",https://www.amazon.in//Redmi-Pro-Black-32GB-Storage/dp/B07DJL15QT?_encoding=UTF8&psc=1
"Samsung Galaxy M20 (Ocean Blue, 4+64GB)","12,990.00",3.7 out of 5 stars,"10,933",https://www.amazon.in//Samsung-Galaxy-Ocean-Blue-64GB/dp/B07HGH3G6H?_encoding=UTF8&psc=1
"Redmi 6 Pro (Blue, 3GB RAM, 32GB Storage)","7,999.00",4.2 out of 5 stars,"1,218",https://www.amazon.in//Redmi-Pro-Blue-32GB-Storage/dp/B07DJD229S?_encoding=UTF8&psc=1
"Redmi 6A (Black, 2GB RAM, 16GB Storage)","5,999.00",4.2 out of 5 stars,"22,861",https://www.amazon.in//Redmi-6A-Black-2GBRAM-Storage/dp/B077PW9V3J?_encoding=UTF8&psc=1
boAt BassHeads 100 in-Ear Headphones with Mic (Black),399.00,4.0 out of 5 stars,"7,154",https://www.amazon.in//boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX?_encoding=UTF8&psc=1
"Mi Redmi Y2 (Black, 3GB RAM, 32GB Storage)","7,999.00",4.3 out of 5 stars,"17,869",https://www.amazon.in//Redmi-Black-3GB-32GB-Storage/dp/B077Q7F7Z3?_encoding=UTF8&psc=1
Mi Band 3 (Black),"1,999.00",4.1 out of 5 stars,"14,837",https://www.amazon.in//Mi-XMSH05HM-Band-3-Black/dp/B07HCXQZ4P?_encoding=UTF8&psc=1
boAt Rockerz 255 Sports Bluetooth Wireless Earphone with Immersive Stereo Sound and Hands Free Mic (Active Black),"1,399.00",4.0 out of 5 stars,"6,060",https://www.amazon.in//255-Bluetooth-Wireless-Earphone-Immersive/dp/B07C2VJXP4?_encoding=UTF8&psc=1
Mi 10000mAH Li-Polymer Power Bank 2i (Black),899.00,4.2 out of 5 stars,"19,291",https://www.amazon.in//Mi-10000mAH-Li-Polymer-Power-Black/dp/B077RV8CCY?_encoding=UTF8&psc=1
"Redmi 6 Pro (Red, 3GB RAM, 32GB Storage)","7,999.00",4.2 out of 5 stars,"1,171",https://www.amazon.in//Redmi-Pro-Red-32GB-Storage/dp/B07DJCJB4G?_encoding=UTF8&psc=1
"Mi Redmi 6A (Rose Gold, 2GB RAM, 16GB Storage)","5,999.00",4.2 out of 5 stars,"22,861",https://www.amazon.in//Redmi-6A-Rose-Gold-Storage/dp/B0756VP795?_encoding=UTF8&psc=1
"Samsung Galaxy M10 (Charcoal Black, 3+32GB)","8,990.00",4.1 out of 5 stars,"2,647",https://www.amazon.in//Samsung-Galaxy-Charcoal-Black-32GB/dp/B07HGKHV8Y?_encoding=UTF8&psc=1
"Samsung Galaxy M20 (Ocean Blue, 3+32GB)","10,990.00",3.7 out of 5 stars,"10,933",https://www.amazon.in//Samsung-Galaxy-Ocean-Blue-32GB/dp/B07HGN619D?_encoding=UTF8&psc=1
"Mi Redmi 6A (Blue, 2GB RAM, 16GB Storage)","5,999.00",4.2 out of 5 stars,"22,861",https://www.amazon.in//Redmi-6A-Blue-16GB-Storage/dp/B07DJD1H1D?_encoding=UTF8&psc=1
JBL C100SI In-Ear Headphones with Mic (Black),649.00,3.9 out of 5 stars,"29,633",https://www.amazon.in//JBL-C100SI-Ear-Headphones-Black/dp/B01DEWVZ2C?_encoding=UTF8&psc=1
"Samsung Galaxy M20 (Charcoal Black, 4+64GB)","12,990.00",3.7 out of 5 stars,"10,933",https://www.amazon.in//Samsung-Galaxy-Charcoal-Black-64GB/dp/B07HGJFSC9?_encoding=UTF8&psc=1
boAt BassHeads 225 in-Ear Super Extra Bass Headphones (Black),549.00,3.8 out of 5 stars,"41,436",https://www.amazon.in//BassHeads-225-Super-Extra-Headphones/dp/B01M9C51T9?_encoding=UTF8&psc=1
Mi  Earphones Basic with Mic (Black),399.00,4.1 out of 5 stars,"9,850",https://www.amazon.in//Mi-Earphones-Basic-Mic-Black/dp/B07CD2BN46?_encoding=UTF8&psc=1
Mi Band - HRX Edition (Black),999.00,3.9 out of 5 stars,"8,667",https://www.amazon.in//Mi-Band-HRX-Edition-Black/dp/B075BCSFNN?_encoding=UTF8&psc=1
Mi 20000mAH Li-Polymer Power Bank 2i (White),"1,499.00",4.2 out of 5 stars,"4,969",https://www.amazon.in//Mi-20000mAH-Li-Polymer-Power-White/dp/B077RV8CCZ?_encoding=UTF8&psc=1
"OnePlus 6T (Mirror Black, 6GB RAM, 128GB Storage)","37,999.00",4.5 out of 5 stars,"14,047",https://www.amazon.in//OnePlus-Mirror-Black-128GB-Storage/dp/B07DJD1Y3Q?_encoding=UTF8&psc=1
Fire TV Stick with all-new Alexa Voice Remote | Streaming Media Player,"3,999.00",4.1 out of 5 stars,578,https://www.amazon.in//Amazon-FireTVStick-Alexa-Voice-Remote-Streaming-Player/dp/B0791YHVMK?_encoding=UTF8&psc=1
SanDisk Ultra Dual 32GB USB 3.0 OTG Pen Drive,549.00,4.2 out of 5 stars,"14,268",https://www.amazon.in//SanDisk-Ultra-Dual-32GB-Drive/dp/B01N5KHFG9?_encoding=UTF8&psc=1
"Mi Redmi 6A (Black, 2GB RAM, 32GB Storage)","6,499.00",4.2 out of 5 stars,"22,861",https://www.amazon.in//Redmi-6A-Black-32GB-Storage/dp/B07DJHR5C7?_encoding=UTF8&psc=1
"Mi Redmi Y2 (Blue, 3GB RAM, 32GB Storage)","7,999.00",4.3 out of 5 stars,"17,869",https://www.amazon.in//Redmi-Blue-3GB-32GB-Storage/dp/B0784D8632?_encoding=UTF8&psc=1
"Xiaomi Mi A2 (Black, 4GB RAM, 64GB Storage)","11,999.00",3.9 out of 5 stars,"11,597",https://www.amazon.in//Mi-A2-Black-64GB-Storage/dp/B077PW9VBW?_encoding=UTF8&psc=1
boAt Rockerz 255 Sports Bluetooth Wireless Earphone with Immersive Stereo Sound and Hands Free Mic (Neon),"1,399.00",4.0 out of 5 stars,"6,060",https://www.amazon.in//255-Bluetooth-Wireless-Earphone-Immersive/dp/B07C2VJFDW?_encoding=UTF8&psc=1
SanDisk Cruzer Blade 32GB USB Flash Drive,399.00,4.2 out of 5 stars,"37,951",https://www.amazon.in//SanDisk-Cruzer-Blade-Flash-Drive/dp/B005FYNT3G?_encoding=UTF8&psc=1
SanDisk 32GB Class 10 Micro SDHC Memory Card with Adapter (SDSQUAR-032G-GN6MA),449.00,4.4 out of 5 stars,"8,459",https://www.amazon.in//SanDisk-Class-Memory-Adapter-SDSQUAR-032G-GN6MA/dp/B073JWXGNT?_encoding=UTF8&psc=1
"Samsung Galaxy M20 (Charcoal Black, 3+32GB)","10,990.00",3.7 out of 5 stars,"10,933",https://www.amazon.in//Samsung-Galaxy-Charcoal-Black-32GB/dp/B07HGH2S5M?_encoding=UTF8&psc=1
"Mi Redmi 6A (Rose Gold, 2GB RAM, 32GB Storage)","6,499.00",4.2 out of 5 stars,"22,861",https://www.amazon.in//Redmi-6A-Rose-Gold-Storage/dp/B07DJHZCGT?_encoding=UTF8&psc=1
"Redmi Note 5 Pro (Black, 4GB RAM, 64GB Storage)","10,999.00",4.3 out of 5 stars,"2,399",https://www.amazon.in//Redmi-Note-Pro-Black-Storage/dp/B07FK4DNRS?_encoding=UTF8&psc=1
Honor Band 4 (Black),"2,599.00",4.4 out of 5 stars,"3,017",https://www.amazon.in//Honor-Crius-B19-Band-4-Black/dp/B07KCN14PK?_encoding=UTF8&psc=1
"Realme U1 (Brave Blue, 4GB RAM, 64GB Storage)","11,999.00",4.4 out of 5 stars,"10,013",https://www.amazon.in//Realme-Brave-Blue-64GB-Storage/dp/B07HGJ4VVN?_encoding=UTF8&psc=1
SanDisk Ultra Dual 32GB USB 3.0 OTG Pen Drive (Gold),549.00,4.2 out of 5 stars,"2,718",https://www.amazon.in//SanDisk-Ultra-Dual-32GB-Drive/dp/B0734VLDTC?_encoding=UTF8&psc=1
Mi Earphones Basic with Mic (Red),399.00,4.1 out of 5 stars,"9,850",https://www.amazon.in//Mi-Earphones-Basic-Mic-Red/dp/B07C9GHXFW?_encoding=UTF8&psc=1
boAt BassHeads 225 Special Edition in-Ear Headphones with Mic (Blue),549.00,3.8 out of 5 stars,"41,435",https://www.amazon.in//boAt-BassHeads-225-Special-Headphones/dp/B01MF8MB65?_encoding=UTF8&psc=1
"Realme U1 (Brave Blue, 3GB RAM, 32GB Storage)","9,999.00",4.4 out of 5 stars,"10,013",https://www.amazon.in//Realme-Brave-Blue-32GB-Storage/dp/B07HG8S7LB?_encoding=UTF8&psc=1
Intex IT-PB11K 11000mAH Power Bank (Black),599.00,3.4 out of 5 stars,"11,881",https://www.amazon.in//Intex-PB11K-11000mAH-Power-Black/dp/B01951R2S2?_encoding=UTF8&psc=1
"Redmi 6A (Blue, 2GB RAM, 32GB Storage)","6,499.00",4.2 out of 5 stars,"22,861",https://www.amazon.in//Redmi-6A-Blue-32GB-Storage/dp/B07DJ8GSL6?_encoding=UTF8&psc=1
Mi Body Composition Scale (White),"1,499.00",4.1 out of 5 stars,628,https://www.amazon.in//Mi-Body-Composition-Scale-White/dp/B07FGH36M5?_encoding=UTF8&psc=1
Boat Rockerz 400 On-Ear Bluetooth Headphones (Carbon Black),"1,399.00",4.0 out of 5 stars,"16,524",https://www.amazon.in//Boat-Rockerz-400-Bluetooth-Headphones/dp/B01J82IYLW?_encoding=UTF8&psc=1
Nokia 105 (Black),"1,049.00",4.1 out of 5 stars,"4,912",https://www.amazon.in//Nokia-105-Black/dp/B0745BNFYV?_encoding=UTF8&psc=1
SanDisk Cruzer Blade SDCZ50-016G-135 16GB USB 2.0 Pen Drive,279.00,4.2 out of 5 stars,"37,951",https://www.amazon.in//SanDisk-Cruzer-Blade-SDCZ50-016G-135-Drive/dp/B002U1ZBG0?_encoding=UTF8&psc=1
boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),299.00,4.1 out of 5 stars,"2,727",https://www.amazon.in//Rugged-Extra-Tough-Unbreakable-Braided/dp/B0789LZTCJ?_encoding=UTF8&psc=1
"Mi Xiaomi Redmi Note 5 Pro (Gold, 6GB RAM, 64GB Storage)","11,999.00",4.3 out of 5 stars,"2,399",https://www.amazon.in//Xiaomi-Redmi-Note-Pro-Storage/dp/B07BJZJWBK?_encoding=UTF8&psc=1
SanDisk 64GB Class 10 microSDXC Memory Card with Adapter (SDSQUAR-064G-GN6MA),899.00,4.4 out of 5 stars,"8,459",https://www.amazon.in//SanDisk-microSDXC-Memory-Adapter-SDSQUAR-064G-GN6MA/dp/B073JYVKNX?_encoding=UTF8&psc=1
"Redmi 6 Pro (Blue, 4GB RAM, 64GB Storage)","9,999.00",4.0 out of 5 stars,"1,154",https://www.amazon.in//Redmi-Pro-Blue-64GB-Storage/dp/B07DJHR5DY?_encoding=UTF8&psc=1
"Redmi 6 Pro (Gold, 4GB RAM, 64GB Storage)","9,999.00",4.1 out of 5 stars,"8,652",https://www.amazon.in//Redmi-Pro-Gold-64GB-Storage/dp/B07DJ8GTZJ?_encoding=UTF8&psc=1
