Product,Price,Rating,No. of reviews,Link
"Good knight Activ+ Liquid Refill, 45ml (Pack of 2) Red",125.00,4.2 out of 5 stars,849,https://www.amazon.in//Good-knight-Activ-Liquid-Refill/dp/B01N6BMUBK?_encoding=UTF8&psc=1
Classic Mosquito Net Foldable Flexible for Double Bed|King Size|Queen Size,"999.00 -    1,199.00",4.3 out of 5 stars,"1,771",https://www.amazon.in//Classic-Mosquito-Net-Foldable-Flexible/dp/B07PGZHDPC
"All Out Ultra Clear Refill Saver (270ml, Pack of 6)",334.00,3.7 out of 5 stars,"1,011",https://www.amazon.in//All-Out-Ultra-Clear-Refill/dp/B00VFMFXRC?_encoding=UTF8&psc=1
HIT Anti Roach Gel,175.00,4.0 out of 5 stars,"1,381",https://www.amazon.in//HIT-Ant1RoachGel-Anti-Roach-Gel/dp/B00YUNKKP8?_encoding=UTF8&psc=1
Good knight Fabric Roll-On Personal Mosquito Repellent 8ml,65.00,3.7 out of 5 stars,748,https://www.amazon.in//Good-knight-Personal-Mosquito-Repellent/dp/B01J7HVBKY?_encoding=UTF8&psc=1
"Classic Mosquito Net - Foldable, King Size Double Bed With Saviours - (Pink)",999.00,4.3 out of 5 stars,"1,387",https://www.amazon.in//Classic-Mosquito-Net-Foldable-Saviours/dp/B014T5PTQQ?_encoding=UTF8&psc=1
"Good Knight Activ+ 60 N Liquid Refill (Pack of 4, Red)",295.00,3.9 out of 5 stars,369,https://www.amazon.in//Good-Knight-Activ-Liquid-Refill/dp/B01J7HVBM2?_encoding=UTF8&psc=1
Good knight Power Activ+ Combi (Machine + Refill),85.00,4.2 out of 5 stars,806,https://www.amazon.in//Good-knight-Power-Machine-Refill/dp/B00K67QPME?_encoding=UTF8&psc=1
HIT Spray Dengue and Malaria Killer (400ml),176.00,4.0 out of 5 stars,269,https://www.amazon.in//HIT-Spray-Dengue-Malaria-Killer/dp/B00WK1DONW?_encoding=UTF8&psc=1
"Kisan Kraft KK-PS1000 Manual Sprayer (1 Litre, Color May Vary, Plastic)",195.00,4.1 out of 5 stars,531,https://www.amazon.in//Kisan-Kraft-KK-PS1000-Sprayer-Plastic/dp/B01AUPGA9O?_encoding=UTF8&psc=1
SUPER TOY Mosquito Bat Rechargeable Best - Multicolor,379.00,4.2 out of 5 stars,37,https://www.amazon.in//SUPER-TOY-Mosquito-Rechargeable-Best/dp/B07FRMRQ8C?_encoding=UTF8&psc=1
HIT Spray Flying Insect Killer (FIK) - 625 ml,255.00,4.1 out of 5 stars,102,https://www.amazon.in//HIT-Spray-Flying-Insect-Killer/dp/B00H0FIL6I?_encoding=UTF8&psc=1
Ardith Electronic Led Mosquito Killer Lamps Super Trap Mosquito Killer Machine For Home An Insect Killer Mosquito Killer Electric Machine Mosquito Killer Device Mosquito Trap Machine Eco-Friendly Baby Mosquito Insect Repellent Lamp,645.00,4.1 out of 5 stars,17,https://www.amazon.in//Ardith-Electronic-Mosquito-Eco-Friendly-Repellent/dp/B07P7SWWPL?_encoding=UTF8&psc=1
Cocogarden Cocopeat Brick,189.00 -    259.00,4.2 out of 5 stars,543,https://www.amazon.in//Cocogarden-Cocopeat-Brick/dp/B07LB5NJ5H
"All Out All Night Mosquito and Fly Spray (30ml, Blue)",159.20,3.3 out of 5 stars,216,https://www.amazon.in//All-Out-Night-Mosquito-Spray/dp/B01N5HPBBK?_encoding=UTF8&psc=1
Kisan Kraft KK-TS1000 Manual Sprayer (1 Litre) (Color May Vary),110.00,3.9 out of 5 stars,623,https://www.amazon.in//Kisan-Kraft-KK-TS1000-Manual-Sprayer/dp/B01BLFFC82?_encoding=UTF8&psc=1
Story@Home Mosquito Net 1,"899.00 -    1,299.00",3.9 out of 5 stars,18,https://www.amazon.in//Story-Home-Mosquito-Net-1/dp/B07PTQCFZG
"HIT Spray Crawling Insect Killer (400ml, Red)",176.00,4.1 out of 5 stars,305,https://www.amazon.in//HIT-Spray-Crawling-Insect-Killer/dp/B00XORDU9E?_encoding=UTF8&psc=1
Viola Mosquito Racket with Torch,449.00 -    599.00,3.8 out of 5 stars,113,https://www.amazon.in//Viola-Mosquito-Racket-with-Torch/dp/B07N88ZSNR
BirdFlee Polycarbonate Bird Spikes 5 pcs. Set,170.00,4.4 out of 5 stars,105,https://www.amazon.in//BirdFlee-Polycarbonate-Bird-Spikes-pcs/dp/B01LZQ48MT?_encoding=UTF8&psc=1
"All Out Ultra Refill (Clear, 2-Pieces)",130.00,3.7 out of 5 stars,131,https://www.amazon.in//All-Out-Ultra-Refill-2-Pieces/dp/B01N59MVB3?_encoding=UTF8&psc=1
Royal Foldable Single Bed Mosquito Net (Blue),899.00,4.0 out of 5 stars,247,https://www.amazon.in//Royal-Foldable-Single-Mosquito-Blue/dp/B017ZB62NA?_encoding=UTF8&psc=1
