Product,Price,Rating,No. of reviews,Link
"Max Care Cold Pressed Virgin Coconut Oil, 500ml",332.00,4.5 out of 5 stars,"1,457",https://www.amazon.in//Max-Care-Pressed-Virgin-Coconut/dp/B00ZX1PO5M?_encoding=UTF8&psc=1
"Lipton Honey Lemon Green Tea Bags, 100 Pieces",423.00,4.3 out of 5 stars,"1,926",https://www.amazon.in//Lipton-Honey-Lemon-Green-Pieces/dp/B01HMQ4HLW?_encoding=UTF8&psc=1
"All Natural Peanut Butter Crunchy (1 kg) (Unsweetened, Non-GMO, Gluten Free, Vegan)",399.00,4.4 out of 5 stars,"1,922",https://www.amazon.in//Pintola-Natural-Crunchy-Unsweetened-Non-GMO/dp/B06XFSSDNH?_encoding=UTF8&psc=1
"Amazon Brand - Solimo Premium Almonds, 500g",444.00,4.0 out of 5 stars,"2,341",https://www.amazon.in//Amazon-Brand-Solimo-Premium-Almonds/dp/B01LPY9R08?_encoding=UTF8&psc=1
"Quaker Oats Pouch, 1kg",153.00,4.4 out of 5 stars,"1,661",https://www.amazon.in//Quaker-Oats-Pouch-1kg/dp/B00QPS8BAW?_encoding=UTF8&psc=1
"Girnar Green Tea, Desi Kahwa, 36 Tea Bags",330.00,4.5 out of 5 stars,"1,021",https://www.amazon.in//Girnar-Green-Desi-Kahwa-Bags/dp/B01CE7D8BY?_encoding=UTF8&psc=1
"Tata Tea Gold, 500g",202.00,4.3 out of 5 stars,"1,264",https://www.amazon.in//Tata-Tea-Gold-500g/dp/B00GLDPBJK?_encoding=UTF8&psc=1
"Amazon Brand - Solimo Premium Raisins, 250g",99.00,4.2 out of 5 stars,745,https://www.amazon.in//Amazon-Brand-Solimo-Premium-Raisins/dp/B01LPYAB9O?_encoding=UTF8&psc=1
"Bagrrys Corn Flakes, 800g (with Extra 80g)",145.00,4.2 out of 5 stars,124,https://www.amazon.in//Bagrrys-Corn-Flakes-800g-Extra/dp/B071S6LMBH?_encoding=UTF8&psc=1
"Kellogg's Oats, 1kg",145.00,4.3 out of 5 stars,604,https://www.amazon.in//Kelloggs-Oats-1kg/dp/B00O8WTZL6?_encoding=UTF8&psc=1
"Quaker Oats, 1.5kg Pack",204.00,4.4 out of 5 stars,"1,661",https://www.amazon.in//Quaker-Oats-1-5kg-Pack/dp/B00L2K9DM8?_encoding=UTF8&psc=1
"Tata Tea Gold, 1kg",376.00,4.3 out of 5 stars,"1,264",https://www.amazon.in//Tata-Tea-Gold-1kg/dp/B00GLDJ9WA?_encoding=UTF8&psc=1
