Product,Price,Rating,No. of reviews,Link
"Surf Excel Matic Top Load Detergent Powder, 2 kg",329.00,4.4 out of 5 stars,"3,590",https://www.amazon.in//Surf-Excel-Matic-Detergent-Powder/dp/B00TS88UZW?_encoding=UTF8&psc=1
Philips Beard Trimmer Cordless for Men QT4001/15 (With Adapter),"1,249.00",4.0 out of 5 stars,"16,946",https://www.amazon.in//Philips-Trimmer-Cordless-QT4001-15/dp/B00L8PEEAI?_encoding=UTF8&psc=1
Whisper Ultra Clean Sanitary Pads - 44 Pieces (XL Plus),297.00,4.1 out of 5 stars,265,https://www.amazon.in//Whisper-Ultra-Clean-Sanitary-Pads/dp/B07HS6JRZD?_encoding=UTF8&psc=1
"Surf Excel Matic Front Load Detergent Powder, 2 kg",379.00,4.4 out of 5 stars,"2,629",https://www.amazon.in//Surf-Excel-Matic-Detergent-Powder/dp/B00TS88Q7Y?_encoding=UTF8&psc=1
Philips Beard Trimmer Cordless  and Corded for Men QT4011/15,"1,999.00",4.3 out of 5 stars,"27,818",https://www.amazon.in//Philips-Trimmer-Cordless-Corded-QT4011/dp/B00JJIDBIC?_encoding=UTF8&psc=1
"Bragg Organic, Raw, Unfiltered, with The Mother, Apple Cider Vinegar 16 oz (473 ml)",570.00,4.4 out of 5 stars,"1,607",https://www.amazon.in//Bragg-Organic-Apple-Cider-Vinegar/dp/B00UPTU286?_encoding=UTF8&psc=1
"AS-IT-IS Nutrition Whey Protein Concentrate 80% Unflavoured, tested for purity (1kg)","1,199.00",4.0 out of 5 stars,"1,806",https://www.amazon.in//AS-Nutrition-Protein-Concentrate-Unflavoured/dp/B079SZJJDR?_encoding=UTF8&psc=1
Harpic Original Powerplus - 1 L (Pack of 2),288.00,4.4 out of 5 stars,"1,823",https://www.amazon.in//Harpic-Original-Powerplus-Pack/dp/B016D3J92M?_encoding=UTF8&psc=1
Dettol Liquid Hand wash Refill Original -1500 ml,199.00,4.5 out of 5 stars,"3,404",https://www.amazon.in//Dettol-Liquid-Refill-Original-1500/dp/B01LNA2MQK?_encoding=UTF8&psc=1
Wow Omega-3 Fish Oil 1000 mg Triple Strength 550 mg EPA 350 mg - 60 Capsules,549.00,4.3 out of 5 stars,"1,648",https://www.amazon.in//Omega-3-Fish-1000-Triple-Strength/dp/B0748HQW6C?_encoding=UTF8&psc=1
"Dettol pH-Balanced Skincare Liquid Handwash Refill Super Saver Pack, 1500ml",188.00,4.2 out of 5 stars,58,https://www.amazon.in//Dettol-pH-Balanced-Skincare-Liquid-Handwash/dp/B07M9XYH9K?_encoding=UTF8&psc=1
Surf Excel Matic Front Load Liquid Detergent - 1.02 L,208.00,4.1 out of 5 stars,657,https://www.amazon.in//Surf-Excel-Matic-Liquid-Detergent/dp/B071GFQ697?_encoding=UTF8&psc=1
"HealthVit Apple Cider Vinegar with Mother Vinegar, Raw, Unfiltered and Undiluted - 500 ml",179.00,4.0 out of 5 stars,"1,069",https://www.amazon.in//HealthVit-Vinegar-Mother-Unfiltered-Undiluted/dp/B016W0Y638?_encoding=UTF8&psc=1
Nova NHT-1045 Rechargeable Cordless Beard Trimmer for Men (Black),299.00,3.3 out of 5 stars,"7,460",https://www.amazon.in//Nova-NHT-1045-Rechargeable-Cordless-Black/dp/B00VT8CUHS?_encoding=UTF8&psc=1
"Dabur Red Paste, 600g (Buy 3 Get 1 Free)",180.00,4.4 out of 5 stars,456,https://www.amazon.in//Dabur-Red-Paste-150g-Free/dp/B07991F7KY?_encoding=UTF8&psc=1
