Product,Price,Rating,No. of reviews,Link
Pigeon Handy Chopper with 3 Blades,"160.00 -    1,498.00",4.4 out of 5 stars,"16,395",https://www.amazon.in//Pigeon-Handy-Chopper-3-Blades/dp/B075L4VFCB
Milton Thermosteel Duo 1800 Deluxe Bottle,"429.00 -    6,162.22",4.4 out of 5 stars,"6,508",https://www.amazon.in//Milton-Thermosteel-1800-Deluxe-Bottle/dp/B01LXA0UEB
Milton Thermosteel Flip Lid Flask,"380.00 -    1,214.00",4.2 out of 5 stars,"8,923",https://www.amazon.in//Milton-Thermosteel-Flip-Lid-Flask/dp/B01LZ883JB
Bajaj Platini PX97 Torque 36 Ltrs Room Air Cooler (White),"5,596.00",3.0 out of 5 stars,520,https://www.amazon.in//Bajaj-Platini-PX97-Torque-Cooler/dp/B00T7N2R1Q?_encoding=UTF8&psc=1
Kuber Industries PVC Refrigerator Mat Set,169.00 -    199.00,3.9 out of 5 stars,"1,890",https://www.amazon.in//Kuber-Industries-PVC-Refrigerator-Mat/dp/B07NF62CH3
"Mcp Digital Kitchen Scale Electronic Digital Kitchen Weighing Scale 10 Kgs Weight Measure Spices Vegetable Liquids, Ivory",209.00,3.5 out of 5 stars,677,https://www.amazon.in//Digital-Kitchen-Scale-Electronic-Vegetable/dp/B012JZVXIQ?_encoding=UTF8&psc=1
Milton Plastic Medical Box With Handle (14 x 16 x 23 CM)(White),230.00,4.4 out of 5 stars,"4,225",https://www.amazon.in//MILTON-DHHFFHG075ASSR0048-Milton-Medical-Box/dp/B00Y6EHHQ6?_encoding=UTF8&psc=1
Cello H2O Unbreakable Bottle,700.00 -    960.00,4.3 out of 5 stars,"2,319",https://www.amazon.in//Cello-H2O-Unbreakable-Bottle/dp/B079H4NQHM
Philips GC1905 1440-Watt Steam Iron with Spray (Blue),"1,273.00",4.0 out of 5 stars,"4,436",https://www.amazon.in//Philips-GC1905-1440-Watt-Steam-Spray/dp/B008QTK47Q?_encoding=UTF8&psc=1
"Decals Design 'Tree with Birds and Cages' Wall Sticker (PVC Vinyl, 60 cm x 90 cm, Brown)",89.00,4.2 out of 5 stars,"2,916",https://www.amazon.in//Decals-Design-Birds-Cages-Sticker/dp/B07DD5J87W
