Product,Price,Rating,No. of reviews,Link
"Spotzero by Milton Elite Spin Mop with Bigger Wheels and Plastic Auto Fold Handle for 360 Degree Cleaning (Aqua Green, Two Refills)",949.00,4.0 out of 5 stars,"5,296",https://www.amazon.in//Spotzero-Milton-Bigger-Cleaning-Refills/dp/B01MA1JLOM?_encoding=UTF8&psc=1
"Esquire Elegant Spin Plastic Mop with 1 Extra Refill (47.3 cm x 25.5 cm x 22.5 cm, Blue)",529.00,3.6 out of 5 stars,"4,622",https://www.amazon.in//Esquire-Elegant-Spin-Extra-Refill/dp/B071JWBFDT?_encoding=UTF8&psc=1
Havells 6A Four-Way Extension Board (White),349.00,3.7 out of 5 stars,655,https://www.amazon.in//Havells-Four-Way-Extension-Board-White/dp/B00J1YQWC6?_encoding=UTF8&psc=1
Gala Spin Mop Expandable Rod – Stainless Steel – Blue,250.00,3.6 out of 5 stars,"1,295",https://www.amazon.in//Gala-Spin-Compatible-only-mops/dp/B01JOCH2VY?_encoding=UTF8&psc=1
"Spotzero By Milton Ace Spin Mop, Aqua green",729.00,3.8 out of 5 stars,630,https://www.amazon.in//Spotzero-Milton-Ace-Spin-Mop-Aqua-green/dp/B07CY7PNFQ?_encoding=UTF8&psc=1
Scotch-Brite Heavy Duty Gloves (Medium)(Red),120.00,3.6 out of 5 stars,"1,014",https://www.amazon.in//Scotch-Brite-Heavy-Duty-Gloves-Medium/dp/B00NBM0WD4?_encoding=UTF8&psc=1
"GM Modular 3060- E-Book 4+1 Spike Guard, Multicolour",409.00,4.4 out of 5 stars,"2,027",https://www.amazon.in//GM-Modular-3060-Book-Multicolour/dp/B008XT42JU?_encoding=UTF8&psc=1
"Photron Precision Magnetic 31 in 1 Repairing ScrewDriver Tool Set Kit (Multicolor, 31 Pieces)",147.50,2.9 out of 5 stars,509,https://www.amazon.in//Precision-Magnetic-Repairing-ScrewDriver-Multicolor/dp/B074BF757Q?_encoding=UTF8&psc=1
Gala Twin Bucket Spin Mop with 2 refills and 1 liquid dispenser (Blue),"1,199.00",3.8 out of 5 stars,"1,516",https://www.amazon.in//Gala-Twin-Bucket-refills-dispenser/dp/B01BBLUVMS?_encoding=UTF8&psc=1
Gala Spin Mop Extendable Handle with Microfibre Refill – Stainless Steel – White,519.00,4.0 out of 5 stars,739,https://www.amazon.in//Gala-Spin-Handle-Refill-White/dp/B01JOCH2ZU?_encoding=UTF8&psc=1
"Hindware F160027 Health Faucet ABS with Rubbit Cleaning System, 1.2m Long PVC Flexible Tube and ABS Wall Hook (Multicolor)",549.00,3.6 out of 5 stars,"2,685",https://www.amazon.in//Hindware-F160027-Cleaning-Flexible-Multicolor/dp/B00IRY9GEM?_encoding=UTF8&psc=1
"Spotzero by Milton Prime Mop with Big Wheels and Stainless Steel Wringer (Aqua green, 2 refills)","1,299.00",4.1 out of 5 stars,297,https://www.amazon.in//Spotzero-Milton-Stainless-Wringer-refills/dp/B07D4T4YT2?_encoding=UTF8&psc=1
Scotch-Brite Bathroom Scrubber Plastic Brush (Green),120.00,4.1 out of 5 stars,"1,280",https://www.amazon.in//Scotch-Brite-Bathroom-scrubber-brush-Green/dp/B00NBM24PS?_encoding=UTF8&psc=1
Gala e-Quick Spin Mop with Easy Wheels and Bucket with 2 Refills,"1,099.00",4.0 out of 5 stars,"1,326",https://www.amazon.in//Gala-Quick-Wheels-Bucket-Refills/dp/B06Y151YM4?_encoding=UTF8&psc=1
"Scotch-Brite Sponge Wipe, Pack of 3 (Color May Vary)",165.00,4.2 out of 5 stars,651,https://www.amazon.in//Scotch-Brite-Sponge-Wipe-Pack-Color/dp/B00NBLZ3QQ?_encoding=UTF8&psc=1
"Bosch GSB 500W 10 RE Professional Tool Kit, MS and Plastic (Blue, Pack of 100)","3,499.00",4.3 out of 5 stars,"2,535",https://www.amazon.in//Bosch-GSB-10-RE-Professional/dp/B0119ROQXY?_encoding=UTF8&psc=1
Spartan BS-02 8-Pieces Screwdriver Kit (Multicolour),159.00,4.2 out of 5 stars,942,https://www.amazon.in//Spartan-BS-02-8-Pieces-Screwdriver-Multicolour/dp/B0756N9LQ7?_encoding=UTF8&psc=1
"SOBBY Microfibre Cleaning Cloth - 40 cm x 40 cm - 340 gsm, (Multicolor, Pack of 4)",299.00,4.4 out of 5 stars,805,https://www.amazon.in//SOBBY-Microfibre-Cleaning-Cloth-Multicolor/dp/B07489945R?_encoding=UTF8&psc=1
"Cheston 3.0 m³/min Electric Air Blower Pc Cleaner (600W, Orange)",599.00,3.9 out of 5 stars,14,https://www.amazon.in//Cheston-Electric-Blower-Cleaner-Orange/dp/B07NBLYCCH?_encoding=UTF8&psc=1
AARNEIL Spin Mop Bucket 360 with Plastic Basket Offer 2 Refill Bucket with Wheel to Easy Moving. (Random Color),499.00,3.8 out of 5 stars,16,https://www.amazon.in//AARNEIL-Bucket-Plastic-Basket-Moving/dp/B07MZVDQF7?_encoding=UTF8&psc=1
"Gala No Dust Fibre and Plastic Floor Broom, Blue",180.00,3.5 out of 5 stars,"1,531",https://www.amazon.in//Gala-No-Dust-Floor-Broom/dp/B00JZHO0O6?_encoding=UTF8&psc=1
R.K.V. Mop Rod Stick Stainless Steel with 2 Refill 360 Degree Rotating Pole (Blue),252.00,3.0 out of 5 stars,188,https://www.amazon.in//R-K-V-Stainless-Refill-Degree-Rotating/dp/B077XJ27FW?_encoding=UTF8&psc=1
"3M Filtrete Anti Pollution Filter for converting AC into air Purifier (White, 2 Pieces)",368.00,3.5 out of 5 stars,188,https://www.amazon.in//3M-Non-Woven-Electrostatic-Purifying-Filter/dp/B06XY536LF?_encoding=UTF8&psc=1
Scotch-Brite Sponge Wipe (5 Pcs),255.00,4.4 out of 5 stars,352,https://www.amazon.in//Scotch-Brite-Sponge-Wipe-5-Pcs/dp/B016VXORNA?_encoding=UTF8&psc=1
Hilex Mini Strip 8 Plug Point Extension Strip with Fuse and Spark Suppressor,103.00,3.2 out of 5 stars,"1,552",https://www.amazon.in//Hilex-Strip-Point-Extension-Suppressor/dp/B00QAHAZYI?_encoding=UTF8&psc=1
"Kitchenexp :Unbreakable"" Premium Quality Crystal Clear Corner Set Plastic Bathroom Corner Shelves (Pack Of 3, Clear)",105.00,4.0 out of 5 stars,248,https://www.amazon.in//Kitchenexp-Unbreakable-Premium-Quality-Bathroom/dp/B06XF2PWWP?_encoding=UTF8&psc=1
"Command Decorating & Organizing Clips (Clear,20 Clips and 24 Mini Strips)",198.00,3.7 out of 5 stars,228,https://www.amazon.in//Command-Plastic-Decor-Clear-Strips/dp/B0084M66QS?_encoding=UTF8&psc=1
"Ketsaal Spin Bucket Mop with 2 Refills- Super Absorbent Refills for All Type of Floors, 360 Degree Spin Bucket, 180 Degree Bendable Handle, for Perfect Cleaning (Color May Vary)",520.00,5.0 out of 5 stars,1,https://www.amazon.in//Ketsaal-Refills-Absorbent-Bendable-Cleaning/dp/B07GRYBZLC?_encoding=UTF8&psc=1
Bosch GSB 500W 500 RE Tool Set (Blue),"3,498.00",4.3 out of 5 stars,"1,079",https://www.amazon.in//Bosch-GSB-500W-500-RE/dp/B00INTGY6O?_encoding=UTF8&psc=1
"Bosch Hand Tool Kit (Blue, 12 Pieces)","1,069.00",4.4 out of 5 stars,680,https://www.amazon.in//Bosch-Hand-Tool-Blue-Pieces/dp/B0711Y97RQ?_encoding=UTF8&psc=1
"Stanley 69GR20B Plastic Gluepro Trigger Feed Hot Melt Glue Gun, Yellow",499.00,4.3 out of 5 stars,"2,619",https://www.amazon.in//Stanley-69GR20B-Gluepro-Trigger-Feed/dp/B00N9RBVG8?_encoding=UTF8&psc=1
Taparia 840 Screw Driver Set with Neon Bulb,260.00,4.2 out of 5 stars,"1,332",https://www.amazon.in//Taparia-840-Screw-Driver-Neon/dp/B00JLJ9IDQ?_encoding=UTF8&psc=1
"Scotch-Brite Twin Bucket Spin Plastic Mop (Green, 2 Refills)","1,300.00",4.1 out of 5 stars,24,https://www.amazon.in//Scotch-Brite-Twin-Bucket-Plastic-Refills/dp/B07LDKFM2Y?_encoding=UTF8&psc=1
"SOBBY Microfibre Wash and Dust Chenille Mitt Cleaning Gloves (2 PCS Single Sided, Extra Large, Premium Quality Big Chenille Mitt Glove, Assorted Colors)",270.00,4.5 out of 5 stars,592,https://www.amazon.in//Sobby-Single-Sided-Microfiber-Cleaning-Multicolor/dp/B01GBDWEIA?_encoding=UTF8&psc=1
Bmax Cleaning Mop Stick,245.00,3.3 out of 5 stars,449,https://www.amazon.in//Bmax-Cleaning-Mop-Stick/dp/B079M6M2KK?_encoding=UTF8&psc=1
