Product,Price,Rating,No. of reviews,Link
"Generic Digital Heavy Duty Portable Hook Type with Temp Weighing Scale, 50 Kg,Multicolor",239.00,3.6 out of 5 stars,"5,527",https://www.amazon.in//Generic-Digital-Portable-Weighing-Multicolor/dp/B00H3Y44YO?_encoding=UTF8&psc=1
"Generic Digital LCD TDS Meter Waterfilter Tester for Measuring TDS3/TEMP/PPM,Multicolor",246.00,3.9 out of 5 stars,"3,137",https://www.amazon.in//Generic-Digital-Waterfilter-Measuring-Multicolor/dp/B01LTI203Q?_encoding=UTF8&psc=1
ISO PROPYL ALCOHOL 99% Pure [(CH3)2-CH-OH] CAS: 67-63-0 (250ml),209.00,4.3 out of 5 stars,459,https://www.amazon.in//Cero-Propyl-Alcohol-Percent-2-Ch-Oh/dp/B01FD6EMNG?_encoding=UTF8&psc=1
Pidilite WD-40 Multiple Maintenance Spray - 420ml (341g),320.00,4.1 out of 5 stars,405,https://www.amazon.in//Pidilite-Multiple-Maintenance-Spray-420/dp/B07FCHCQCW?_encoding=UTF8&psc=1
Aptechdeals Soldering kit (Beginner 6 in 1),233.00,3.9 out of 5 stars,664,https://www.amazon.in//Aptechdeals-Beginners-Economy-Soldering-Electric/dp/B07D1PQ7TM?_encoding=UTF8&psc=1
Generic ZM1 Wash and Dry 2-in-1 Multipurpose Microfibre High Performance Cleaning Sponge,173.00,3.6 out of 5 stars,224,https://www.amazon.in//Generic-Multipurpose-Microfibre-Performance-Cleaning/dp/B00WWMN9SE?_encoding=UTF8&psc=1
"3M 9004GV Anti Pollution Mask, Pack of 5, Grey",179.00,3.8 out of 5 stars,284,https://www.amazon.in//3M-9004GV-Anti-Pollution-Mask/dp/B01G0PNC1C?_encoding=UTF8&psc=1
"3M 1110 Corded Foam, Noise Reduction Ear Plugs (Pack Of 10),orange",95.00,3.6 out of 5 stars,"2,997",https://www.amazon.in//3M-1110-Corded-Reduction-orange/dp/B00VTNZAXO?_encoding=UTF8&psc=1
Autosol Metal Polish,250.00,4.4 out of 5 stars,"1,404",https://www.amazon.in//Autosol-01001000-Metal-Polish/dp/B003PHLTOG?_encoding=UTF8&psc=1
Careway Latex Medical Examination Disposable Powderd Hand Gloves - 100 Pcs (Medium),247.00,3.8 out of 5 stars,97,https://www.amazon.in//Careway-Medical-Examination-Disposable-Powderd/dp/B01MZ3LC2Q?_encoding=UTF8&psc=1
"HTC-1 Humidity Time Display Meter with Alarm Clock, Wall Mount or Table Top, Multicolour",288.00,3.3 out of 5 stars,988,https://www.amazon.in//HTC-1-Humidity-Display-Meter-Multicolour/dp/B01LTHYX0U?_encoding=UTF8&psc=1
Luzon Dzire TDS3 Pocket Digital TDS Meter with Carry Case and Temperature Display,238.00,3.9 out of 5 stars,138,https://www.amazon.in//Luzon-Dzire-TDS3-Digital-Temperature/dp/B00Y9OX7H6?_encoding=UTF8&psc=1
"Generic Uno R3 ATmega328P with USB Cable length 1 feet, Compatible with ATMEGA16U2 Arduino (Color may vary)",419.00,4.1 out of 5 stars,"1,141",https://www.amazon.in//Uno-ATmega328P-Compatible-ATMEGA16U2-Arduino/dp/B015C7SC5U?_encoding=UTF8&psc=1
3M 1621+9000IN Chemical Protection Safety Goggles and Dust Respirator Mask Combo,129.00,4.1 out of 5 stars,"1,010",https://www.amazon.in//3M-1621-Chemical-Protection-Respirator/dp/B010JZCUYY?_encoding=UTF8&psc=1
"Jumper Wires Male to Male, male to female, female to female, 120 Pieces",177.00,4.1 out of 5 stars,504,https://www.amazon.in//Jumper-Wires-Male-female-Pieces/dp/B00ZYFX6A2?_encoding=UTF8&psc=1
3M IA120100531 Hi Strength Bond Tape (12 mm x 5 m 1 Roll + Primer),283.00,3.9 out of 5 stars,635,https://www.amazon.in//3M-IA120100531-Strength-Bond-Primer/dp/B0156EYYOM?_encoding=UTF8&psc=1
Bosch GWS 600 Professional Angle Grinder (Blue),"1,899.00",4.1 out of 5 stars,"1,088",https://www.amazon.in//Bosch-GWS-600-Professional-Grinder/dp/B01K4Q3Q9G?_encoding=UTF8&psc=1
"3M 1110 Corded Poly-Urethane Foam, PVC Foam Disposable Ear Plugs, Pack of 1, Orange",17.00,3.6 out of 5 stars,"2,997",https://www.amazon.in//3M-1110-Corded-Disposable-Plugs/dp/B014J2IZ6K?_encoding=UTF8&psc=1
THEMISTO - built with passion 60 Watt Glue Gun with 2 Sample Sticks (Black),269.00,4.6 out of 5 stars,22,https://www.amazon.in//THEMISTO-built-passion-Sample-Sticks/dp/B07LF7T2ML?_encoding=UTF8&psc=1
Digital TDS Meter with Temperature and Water Quality Measurement,699.00,4.3 out of 5 stars,696,https://www.amazon.in//Digital-Meter-Temperature-Quality-Measurement/dp/B00N7F1NLK?_encoding=UTF8&psc=1
Generic All Purpose Hot Melt Glue Sticks (Set of 10),56.00,3.5 out of 5 stars,786,https://www.amazon.in//Generic-Purpose-Melt-Glue-Sticks/dp/B01E0QJXWK?_encoding=UTF8&psc=1
"Rudham Disposable Gloves, 300 Pieces, Transparent",106.00,3.2 out of 5 stars,848,https://www.amazon.in//Rudham-Disposable-Gloves-Pieces-Transparent/dp/B00LSSNIEI?_encoding=UTF8&psc=1
3M Attachment Tape (double-sided) : 1 Roll of 12mm X 10Mtr,270.00,3.4 out of 5 stars,149,https://www.amazon.in//3M-Attachment-Tape-double-sided-10Mtr/dp/B013JM1SCY?_encoding=UTF8&psc=1
Generic 12706 Thermoelectric Peltier Cooler or Cooling Module 12V 92W Max,249.00,3.0 out of 5 stars,146,https://www.amazon.in//Generic-Thermoelectric-Peltier-Cooler-Cooling/dp/B00YUP56NC?_encoding=UTF8&psc=1
"XEON Waist Trimmer Stretch/ Shrink Wrapper, 6 inches, Transparent",182.00,3.2 out of 5 stars,81,https://www.amazon.in//XEON-Trimmer-Stretch-Wrapper-Transparent/dp/B079HXQJ1R?_encoding=UTF8&psc=1
R-tek (DEVICE) Digital Thermometer with LCD for Fridges with Wired Probe - Colour May Vary,199.00,4.1 out of 5 stars,47,https://www.amazon.in//R-tek-DEVICE-Digital-Thermometer-Fridges/dp/B07CJY5C92?_encoding=UTF8&psc=1
"Atom A122 Electronic Kitchen Digital Weighing Scale (SF-400A), White",363.00,3.4 out of 5 stars,273,https://www.amazon.in//Atom-A122-Electronic-Kitchen-Weighing/dp/B00WK9OFLO?_encoding=UTF8&psc=1
Absolute Native Electronics W1209 50~100 digital temperature controller thermostat,140.00,3.5 out of 5 stars,284,https://www.amazon.in//Absolute-Native-Electronics-temperature-controller/dp/B00Q6WQJ2O?_encoding=UTF8&psc=1
Grizzly 11 In 1 Metal Alloys Wood Hole Saw Cutting Set (19-64mm),250.00,3.4 out of 5 stars,300,https://www.amazon.in//Grizzly-Metal-Alloys-Cutting-19-64mm/dp/B01FA6MNOE?_encoding=UTF8&psc=1
BabyGo Anti Pollution Face Mask Dust Respirator Washable Reusable Masks Cotton Unisex Mouth for Allergy/Asthma/Travel/Cycling PM2.5 (Set of 4),450.00,4.3 out of 5 stars,16,https://www.amazon.in//Pollution-Respirator-Washable-Reusable-Allergy/dp/B07K7NKBSC?_encoding=UTF8&psc=1
PrimeSurgicals Enema PVC Can/Kit,249.00,3.4 out of 5 stars,92,https://www.amazon.in//Primesurgicals-Enema-Days-Free-Warranty/dp/B06VSQDNR9?_encoding=UTF8&psc=1
3M AREX040 1110 Corded Foam Ear Plugs (Pack of 5),85.00,3.6 out of 5 stars,"2,997",https://www.amazon.in//3M-AREX040-1110-Corded-Plugs/dp/B01DK4MHPS?_encoding=UTF8&psc=1
