Product,Price,Rating,No. of reviews,Link
Sukkhi Jewellery Set for Women (Golden)(CB73381),349.00,3.5 out of 5 stars,229,https://www.amazon.in//Sukkhi-Glamorous-Plated-Choker-Necklace/dp/B07DFNQD2Z?_encoding=UTF8&psc=1
Tiaraz Fashion German Silver Beaded Chandbali Hook Earrings Jewellery for Women,54.00 -    299.00,3.6 out of 5 stars,317,https://www.amazon.in//Tiaraz-Fashion-Chandbali-Earrings-Jewellery/dp/B078LT5H2V
Tiaraz Fashion Stylish Oxidised Afghani Tribal Fancy Party Wear Earrings for Girls and Women (Silver),55.00 -    349.00,3.9 out of 5 stars,155,https://www.amazon.in//Tiaraz-Fashion-Stylish-Oxidised-Earrings/dp/B07JLC5V67
"Urbalaa Floret Yellow Gota Patti Necklace, Earrings, Bracelet & Maang Tika for Women & Girls (Mehandi/Haldi)",230.00,3.8 out of 5 stars,67,https://www.amazon.in//Urbalaa-Necklace-Earrings-Bracelet-Mehandi/dp/B07J1V4LW8?_encoding=UTF8&psc=1
Sukkhi Jewellery Sets for Women (Golden) (457CB2700),369.00,3.0 out of 5 stars,211,https://www.amazon.in//Sukkhi-Jewellery-Women-Golden-457CB2700/dp/B01LB3PLU8?_encoding=UTF8&psc=1
Shining Diva Fashion Jewellery Fancy Party Wear Earrings (Multicolor),199.00,4.3 out of 5 stars,594,https://www.amazon.in//Shining-Diva-Fashion-Jewellery-Multicolor/dp/B0753DHRBR?_encoding=UTF8&psc=1
Shreyadzines Designer Afghani Kashmiri Tribal Oxidized Dangle Long Earrings for Women and Girls,59.00 -    199.00,3.9 out of 5 stars,238,https://www.amazon.in//Shreyadzines-Designer-Kashmiri-Oxidized-Earrings/dp/B07DY1RXQY
MEENAZ Gold Plated Brass Earrings for Women,179.00,4.0 out of 5 stars,194,https://www.amazon.in//MEENAZ-Plated-Brass-Earrings-Women/dp/B07CQV7CHR?_encoding=UTF8&psc=1
Meenaz Jewellery Gold Kundan Pearl Ruby Maang Tikka Necklace Jewellery Sets with Earrings for Women & Girls- NL-305,199.00,4.0 out of 5 stars,157,https://www.amazon.in//Meenaz-Jewellery-Necklace-Earrings-NL-305/dp/B07H8HY22T?_encoding=UTF8&psc=1
Sukkhi Jewellery Set for Women,299.00 -    349.00,3.8 out of 5 stars,725,https://www.amazon.in//Sukkhi-Jewellery-Set-for-Women/dp/B07H6JVQM4
Sukkhi Jewellery Set for Women (Golden)(N71789GLDPM1250),199.00,3.6 out of 5 stars,348,https://www.amazon.in//Sukkhi-Jewellery-Women-Golden-N71789GLDPM1250/dp/B07428Y8PM?_encoding=UTF8&psc=1
YouBella Rose Gold Plated Crystal Bracelet for Girls/Women,189.05,3.9 out of 5 stars,467,https://www.amazon.in//YouBella-Plated-Bracelet-Golden-YBBN_91340A/dp/B071CMQ6N2?_encoding=UTF8&psc=1
Sukkhi Jewellery Bangle for Women (Golden) (32083BGLDPP400_2.6),99.00,3.0 out of 5 stars,233,https://www.amazon.in//Sukkhi-Wedding-Jewellery-Bangle-32083BGLDPP400_2-6/dp/B01AXOO0VC?_encoding=UTF8&psc=1
Valentine Gift By Shining Diva Italian Designer Non Precious Metal Jewellery Set for Women (Blue) (rrsdcmb208),425.00,3.6 out of 5 stars,274,https://www.amazon.in//Valentine-Gift-Shining-Diva-rrsdcmb208/dp/B073MFGJHP?_encoding=UTF8&psc=1
Youbella Bohemian Multicolor Metal Earrings For Women,189.05,3.8 out of 5 stars,445,https://www.amazon.in//YouBella-Precious-Jewellery-Bohemian-Multi-Color/dp/B01MU6O7H7?_encoding=UTF8&psc=1
Shining Diva Fashion Gold Plated Fancy Party Wear Earring,599.00,4.4 out of 5 stars,309,https://www.amazon.in//Shining-Diva-Fashion-Plated-Earring/dp/B077P2GZKX?_encoding=UTF8&psc=1
"Spectrumjaipur Floret Yellow Gota Patti Necklace, Earrings, Bracelet & Maang Tika For Women & Girls (Mehandi/Haldi)",250.00,3.9 out of 5 stars,186,https://www.amazon.in//Spectrumjaipur-Necklace-Earrings-Bracelet-Mehandi/dp/B07BDPDN37?_encoding=UTF8&psc=1
Saraa Dazzling Gold Plated Oxidized Polish Metal White Coloured Pearl Jewellery Set for Women/Girls,146.00 -    400.00,3.7 out of 5 stars,30,https://www.amazon.in//Saraa-Dazzling-Oxidized-Coloured-Jewellery/dp/B0798RWBHH
Sukkhi Jewellery Sets for Women (Golden) (413CB1900),499.00,3.5 out of 5 stars,243,https://www.amazon.in//Sukkhi-Jewellery-Women-Golden-413CB1900/dp/B01LB3P8N8?_encoding=UTF8&psc=1
Valentine Gifts : YouBella Traditional Jewellery Gold Plated Pearl Bracelets Bangles Jewellery for Women and Girls,345.00 -    380.00,2.8 out of 5 stars,224,https://www.amazon.in//Valentine-Gifts-Traditional-Jewellery-Bracelets/dp/B06VTH2RZM
Kaizer Jewelry Oxidised Silver Plated Strand Necklace Set for Women,295.00,4.1 out of 5 stars,252,https://www.amazon.in//Kaizer-Jewelry-Oxidised-Silver-Necklace/dp/B0794MQJJG
Karatcart Silver Platinum Plated Elegant Austrian Crystal Adjustable Leaf Ring For Women's,269.00,4.4 out of 5 stars,71,https://www.amazon.in//Karatcart-Platinum-Elegant-Austrian-Adjustable/dp/B0743FCM1T?_encoding=UTF8&psc=1
Karatcart Platinum Plated Elegant Classic Crystal Adjustable Ring for Women,224.00,3.9 out of 5 stars,343,https://www.amazon.in//Karatcart-Platinum-Elegant-Classic-Adjustable/dp/B071XVN5NC?_encoding=UTF8&psc=1
Shining Diva Fashion Charm Bracelet for Girls (Gold)(8306b),199.00,3.9 out of 5 stars,374,https://www.amazon.in//Shining-Diva-Fashion-Bracelet-8306b/dp/B01M1FKSAQ?_encoding=UTF8&psc=1
Chronex Women's Ponytail Holders,150.00 -    199.00,3.3 out of 5 stars,196,https://www.amazon.in//CHRONEX-Chronex-Womens-Ponytail-Holders/dp/B07954HM5L
Yellow Chimes Dragon Celtic Stainless Steel Ring for Men (Black)(YCSSRG-883DRGN-BL),199.00,4.1 out of 5 stars,119,https://www.amazon.in//Yellow-Chimes-Dragon-Stainless-YCSSRG-883DRGN-BL/dp/B079L5PW79?_encoding=UTF8&psc=1
Sukkhi Gold Plated Jewellery Set for Women (CB72788GLDPD032018_D1),148.00,3.9 out of 5 stars,82,https://www.amazon.in//Sukkhi-Sparkling-Plated-Solitaire-Mangalsutra/dp/B07BCGHN9H?_encoding=UTF8&psc=1
Jaipur Mart Jhumki Earrings for Women (Silver)(GSE247$P),144.00 -    420.00,4.2 out of 5 stars,555,https://www.amazon.in//Jaipur-Mart-Jhumki-Earrings-GSE247/dp/B079KFTVXB
ALFORA German Silver Earrings for Women,125.00,4.0 out of 5 stars,85,https://www.amazon.in//ALFORA-German-Silver-Earrings-Women/dp/B077HRF97K?_encoding=UTF8&psc=1
Roops Collexion Afgani Chand German Silver Oxidized Grey Jhumki Earrings for Women,62.00,3.9 out of 5 stars,37,https://www.amazon.in//Roops-Collexion-Afgani-Oxidized-Earrings/dp/B07GV9JVJB?_encoding=UTF8&psc=1
Sukkhi Gold Plated Jewellery Set for Women (N73395),579.00,2.9 out of 5 stars,39,https://www.amazon.in//Sukkhi-Plated-Jewellery-Women-N73395/dp/B07F5HLV7D?_encoding=UTF8&psc=1
"STRIPES Silver Rhodium Polish, Big Hoop Earrings for Women",29.00,3.9 out of 5 stars,149,https://www.amazon.in//STRIPES-Silver-Rhodium-Polish-Earrings/dp/B06WWJ6888?_encoding=UTF8&psc=1
Shining Diva Fashion Italian Designer Gold Plated Anklets for Women (Rose Gold)(9801a),299.00,3.8 out of 5 stars,41,https://www.amazon.in//Shining-Diva-Fashion-Designer-9801a/dp/B07F78QS65?_encoding=UTF8&psc=1
Reeva Copper Long Necklace Set With Pearl Drop And Colourful Stones For Women,599.00,2.8 out of 5 stars,79,https://www.amazon.in//Reeva-Copper-Necklace-Colourful-Stones/dp/B01GG87FL6?_encoding=UTF8&psc=1
Yellow Chimes Pendant for Girls (Golden) (YCFJPD-871HP-GL),199.00,4.0 out of 5 stars,185,https://www.amazon.in//Yellow-Chimes-Pendant-Golden-YCFJPD-871HP-GL/dp/B01EN8SMZO?_encoding=UTF8&psc=1
Anuradha Art Silver Finish Designer Classy Press On Combo Pack Nose Ring/Nose Stud/Pin for Women/Girls,249.00,4.1 out of 5 stars,67,https://www.amazon.in//Anuradha-Art-Silver-Finish-Designer/dp/B078Q8QYWK?_encoding=UTF8&psc=1
Youbella Combo Gold Plated Coin Necklace And Red Green Coin Necklace & Earrings Jewellery Set For Women,381.90,4.0 out of 5 stars,573,https://www.amazon.in//YouBella-Jewellery-Traditional-Necklace-Earrings/dp/B01F9980XK?_encoding=UTF8&psc=1
karatcart Antique Metal Kashmiri Tribal Oxidised Fashion German Multiple Jhumki Long Earrings for Women Combo of 2,179.00,4.1 out of 5 stars,76,https://www.amazon.in//karatcart-Kashmiri-Oxidised-Multiple-Earrings/dp/B07K4CRLQP?_encoding=UTF8&psc=1
REEVA Pearl Gold Plated Jewellery Set for Women - Combo Pack,385.00,3.6 out of 5 stars,219,https://www.amazon.in//REEVA-Pearl-Plated-Jewellery-Women/dp/B07D7YV9FW?_encoding=UTF8&psc=1
Shining Diva Fashion 18K Gold Plated Crystal Stud Earrings For Women & Girls,245.00 -    299.00,3.9 out of 5 stars,183,https://www.amazon.in//Shining-Diva-Fashion-Crystal-Earrings/dp/B075HW7Y67
Waama Jewels Multicolor Silver-Plated Combo Of 9 Jhumki Earrings For Women,389.00,4.4 out of 5 stars,115,https://www.amazon.in//Waama-Jewels-Multicolor-Silver-Plated-Earrings/dp/B078PXCVKX?_encoding=UTF8&psc=1
YELLOW CHIMES Game of Thrones Ned Stark Hand of The King Pin Brooch (Big),193.00,4.0 out of 5 stars,86,https://www.amazon.in//Yellow-Chimes-Thrones-Stark-Brooch/dp/B01EOGTNNK?_encoding=UTF8&psc=1
Inditradition 36 Grid Cells Plastic Multipurpose Jewelry Organizer Storage Box - Transparent,265.00,3.9 out of 5 stars,162,https://www.amazon.in//Inditradition-Plastic-Multipurpose-Jewelry-Organizer/dp/B07176JZ33?_encoding=UTF8&psc=1
APARA Multicolour Gold Plated Traditional South Indian Laxmi Jewellery Set for Women,310.00,3.3 out of 5 stars,122,https://www.amazon.in//Apara-Traditional-Gold-Plated-Multi-Colour-Jewellery/dp/B079SRH149?_encoding=UTF8&psc=1
Apara Bridal Gold Plated Pearl LCT Stones Necklace Jewellery Set For Women (Golden),269.00,3.7 out of 5 stars,924,https://www.amazon.in//Bridal-Plated-Stones-Necklace-Jewellery/dp/B073Q4GGLW?_encoding=UTF8&psc=1
Sukkhi Gold Plated Jewellery Set for Women (N72836GLDPJ042018),489.00,3.8 out of 5 stars,55,https://www.amazon.in//Sukkhi-Padmavati-Inspired-Meenakari-Handcrafted/dp/B07CJVGBNL?_encoding=UTF8&psc=1
Sukkhi Collection Jewellery Set for Women (Golden)(2719NGLDPP1250),454.00,3.1 out of 5 stars,167,https://www.amazon.in//Sukkhi-Wedding-Collection-Jewellery-2719NGLDPP1250/dp/B01DYDCERQ?_encoding=UTF8&psc=1
"Majik Neem Wood Comb 100% Handemade Anti-Dandruff Comb, Model No.2",199.00,3.9 out of 5 stars,390,https://www.amazon.in//Majik-Neem-Handemade-Anti-Dandruff-Model/dp/B073XP7MLJ
Mansiyaorange Party Collection Rani Haar/Juelry/jwelery/Long Necklace/Jewellery Neckalce Sets for Women (One Gram Golden 9 Inch Long),699.00,4.3 out of 5 stars,125,https://www.amazon.in//Mansiyaorange-Wedding-Collection-Jewellery-Neckalce/dp/B0777GZGGG?_encoding=UTF8&psc=1
