Product,Price,Rating,No. of reviews,Link
Generic 3.5mm Clip On Mini Lapel Lavalier Microphone (Black),119.00,3.0 out of 5 stars,"2,620",https://www.amazon.in//Generic-3-5mm-Clip-Lavalier-Microphone/dp/B01FY20V7A?_encoding=UTF8&psc=1
Boya BYM1 Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black),848.00,3.8 out of 5 stars,"1,050",https://www.amazon.in//Boya-Omnidirectional-Lavalier-Condenser-Microphone/dp/B076B8G5D8?_encoding=UTF8&psc=1
"Blue Panther D'Addario EZ910 Bronze Light (.011-.052), 85/15 Acoustic Guitar Strings",280.00,4.4 out of 5 stars,283,https://www.amazon.in//DAddario-EZ910-011-052-Acoustic-Strings/dp/B0002LI658?_encoding=UTF8&psc=1
Bufferman Metal Black Guitar Capo,141.00,4.3 out of 5 stars,925,https://www.amazon.in//Bufferman-Metal-Black-Guitar-Capo/dp/B00VQEOCCG?_encoding=UTF8&psc=1
Yamaha Acoustic Guitar Cover,750.00,4.6 out of 5 stars,584,https://www.amazon.in//Yamaha-GUITARCOVER-Acoustic-Guitar-Cover/dp/B01A5GLTBC?_encoding=UTF8&psc=1
"Intern INT-38C Acoustic Guitar Kit, Black","1,890.00",3.6 out of 5 stars,958,https://www.amazon.in//Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY?_encoding=UTF8&psc=1
Attherate Handheld Wireless Microphone With Bluetooth Speaker For All IOS/Android Smartphones (Microphone For Kids Singing Colour May Vary- 1 pic),739.00,4.1 out of 5 stars,94,https://www.amazon.in//Attherate-Handheld-Microphone-Bluetooth-Smartphones/dp/B07PB2VPWM?_encoding=UTF8&psc=1
Boya Omnidirectional Lavalier Condenser Microphone with 20 feet Audio Cable,853.00,3.9 out of 5 stars,92,https://www.amazon.in//Omnidirectional-Lavalier-Microphone-Camcorder-Recorders/dp/B00EPZZS4O?_encoding=UTF8&psc=1
Wright Wp 101 Pop Filter For Dynamic Condenser Microphone Voice Recording And Singing 6-Inch Diameter Double Mesh Screen,299.00,4.3 out of 5 stars,395,https://www.amazon.in//101-Condenser-Microphone-Recording-Diameter/dp/B074L71YJ8?_encoding=UTF8&psc=1
Handheld Wireless Microphone With Bluetooth Speaker For All IOS/Android Smartphones,499.00,2.7 out of 5 stars,796,https://www.amazon.in//Handheld-Wireless-Microphone-Bluetooth-Smartphones/dp/B01MQVMK0F?_encoding=UTF8&psc=1
Alice 6-Piece Guitar Pick Set,108.00,3.7 out of 5 stars,436,https://www.amazon.in//Alice-6-Piece-Guitar-Pick-Set/dp/B00R2Z0GSC?_encoding=UTF8&psc=1
"Generic Black Mini Lavalier Lapel Mic Microphone for Voice Chat, Video Conferencing & Recording",59.00,2.6 out of 5 stars,148,https://www.amazon.in//Generic-Lavalier-Microphone-Conferencing-Recording/dp/B01N3XDWG8?_encoding=UTF8&psc=1
Meya Happy Digital Noise Cancellation Clip Collar Mic Condenser For Youtube Video Recording | Interviews | Lectures | News Reporting And Much More,325.00,3.2 out of 5 stars,27,https://www.amazon.in//Meya-Happy-Cancellation-Condenser-Interviews/dp/B07NNTDX1R?_encoding=UTF8&psc=1
