Product,Price,Rating,No. of reviews,Link
"Portronics POR 628 Portable Ruff Pad E-Writer, 8.5 inch LCD with 4 Magnet(Black)",568.00,3.4 out of 5 stars,654,https://www.amazon.in//Portronics-POR-628-Portable-Paperless/dp/B01MCUTU9K?_encoding=UTF8&psc=1
Cello Highlighter - Pack of 5 (Multicolor),68.00,4.2 out of 5 stars,166,https://www.amazon.in//Cello-Highlighter-Pack-5-Multicolor/dp/B074VD1FBJ?_encoding=UTF8&psc=1
Cello Pinpoint Ball Pen Set - Pack of 10 (Blue),70.00,4.1 out of 5 stars,284,https://www.amazon.in//Cello-Pinpoint-Ball-Pen-Set/dp/B01INWEX9U?_encoding=UTF8&psc=1
Cello Whitemate Vivid Whiteboard Marker - (Multicolor),72.00,3.7 out of 5 stars,326,https://www.amazon.in//Cello-Whitemate-Vivid-Whiteboard-Marker/dp/B074VGVXJB?_encoding=UTF8&psc=1
40W 40 Watt Hot Melt Glue Gun with 15 Adhesive Sticks,168.00,2.7 out of 5 stars,236,https://www.amazon.in//Vidisha-Chocoes-Krafts-Adhesive-Sticks/dp/B0784CFSZF?_encoding=UTF8&psc=1
20W 20 WATT 7MM HOT MELT Glue Gun with ON Off Switch and LED Indicator (Free 10 Transparent Glue Sticks),119.00,3.7 out of 5 stars,138,https://www.amazon.in//WATT-Switch-Indicator-Transparent-Sticks/dp/B07MQ3PSMK?_encoding=UTF8&psc=1
"Camlin Kokuyo PB White Board Marker - Pack of 4 Assorted Colors (Black, Blue, Red, Green)",50.00,3.9 out of 5 stars,343,https://www.amazon.in//Camlin-Kokuyo-White-Board-Marker/dp/B00J4YGQ9W?_encoding=UTF8&psc=1
"Pilot Hi-Techpoint 05 Super Value Pen - Pack of 3, Blue",85.00,4.1 out of 5 stars,330,https://www.amazon.in//Pilot-Hi-Techpoint-Super-Value-Pen/dp/B00LOD6BKU?_encoding=UTF8&psc=1
Orpat OT-512GT Calculator (Black),175.00,3.8 out of 5 stars,850,https://www.amazon.in//Orpat-OT-512GT-Calculator-Black/dp/B01I1AZJ1K?_encoding=UTF8&psc=1
Apsara Scholars Kit,99.00,4.5 out of 5 stars,157,https://www.amazon.in//Apsara-Scholars-Kit-99/dp/B00VA7ZCN2?_encoding=UTF8&psc=1
"Pilot V7 Hi-tecpoint Pen with cartridge system - 1 Blue, 1 Black Pen, 2 Blue cartridges, 2 Black cartridges",135.00,4.3 out of 5 stars,748,https://www.amazon.in//Pilot-Hi-tecpoint-Pen-cartridge-system/dp/B0108IPGIO?_encoding=UTF8&psc=1
"billionBAG 40 Watt with FREE 10 Glue Sticks Hot Melt Electronic Glue Gun, High Tech Heating Technology, for Art Craft/DIY/Woods/Paper/Cloth/Science Projects/School Projects (10 Glue Gun Stick Included)",249.00,3.1 out of 5 stars,528,https://www.amazon.in//Billionbag-Decorations-Furniture-Repairs-Included/dp/B074GZPK93?_encoding=UTF8&psc=1
Casio FX-82MS 2-Line Display Scientific Calculator,403.00,4.2 out of 5 stars,535,https://www.amazon.in//Casio-FX-82MS-Display-Scientific-Calculator/dp/B0000D88UR?_encoding=UTF8&psc=1
Cello Signature Carbon Ball Pen,112.00,4.2 out of 5 stars,192,https://www.amazon.in//Cello-Signature-Carbon-Ball-Pen/dp/B07GQQCC9G?_encoding=UTF8&psc=1
"AmazonBasics Classic Notebook, Plain - (130mm x 210mm) - 240 pages (Black)",299.00,4.0 out of 5 stars,838,https://www.amazon.in//AmazonBasics-Classic-Notebook-Plain-130mm/dp/B01DN8TB5U?_encoding=UTF8&psc=1
"Callas Metal Mesh Desk Organizer, Black LD 708-05",420.00,4.1 out of 5 stars,396,https://www.amazon.in//Callas-Metal-Mesh-Organizer-Black/dp/B0177N9IRI?_encoding=UTF8&psc=1
Vishal Detail Pen Knife with 5 Interchangeable Sharp Blades (Free Standard Delivery),88.00,4.5 out of 5 stars,22,https://www.amazon.in//Vishal-Detail-Interchangeable-Standard-Delivery/dp/B07L8V3X2L?_encoding=UTF8&psc=1
Camel Oil Pastel with Reusable Plastic Box - 50 Shades,220.00,4.5 out of 5 stars,264,https://www.amazon.in//Camel-Oil-Pastel-Reusable-Plastic/dp/B00LY12TH6?_encoding=UTF8&psc=1
"Portronics POR 796 Portable Ruff Pad E-Writer, 10 inch LCD Re-Writable Paperless Digital Notepad with Stylus (Black)",820.00,3.3 out of 5 stars,149,https://www.amazon.in//Portronics-POR-796-Re-Writable-Paperless/dp/B0772D34CX?_encoding=UTF8&psc=1
"Faber-Castell Paint Brush Set - Flat, Pack of 7 (Navy Blue)",250.00,4.3 out of 5 stars,79,https://www.amazon.in//Faber-Castell-Paint-Brush-Set-Flat/dp/B00LY29CK2?_encoding=UTF8&psc=1
"AmazonBasics Expanding File Folder, Letter Size (Fits A4 Paper) - Black - with 13 pockets",449.00,4.1 out of 5 stars,781,https://www.amazon.in//AmazonBasics-Expanding-Folder-Letter-Paper/dp/B01B25NN64?_encoding=UTF8&psc=1
Camel Camlin Kokuyo 9900504 Colouring Kit Combo 199,199.00,4.5 out of 5 stars,126,https://www.amazon.in//Camel-Camlin-Kokuyo-9900504-Colouring/dp/B00LY1G9EA?_encoding=UTF8&psc=1
"HP 678 Black Ink Advantage Cartridges, Pack of 2","1,147.00",3.7 out of 5 stars,"3,798",https://www.amazon.in//HP-Black-Original-Advantage-Cartridges/dp/B00URGRGD6?_encoding=UTF8&psc=1
Pilot Frixion Clicker Roller Pen (Blue),100.00,3.8 out of 5 stars,438,https://www.amazon.in//Pilot-Frixion-Clicker-Roller-Blue/dp/B00S2SEV7K?_encoding=UTF8&psc=1
"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages",160.00,4.0 out of 5 stars,74,https://www.amazon.in//Classmate-Premium-Subject-Notebook-Single/dp/B00LZLQ624?_encoding=UTF8&psc=1
GLUN 11 mm Transparent HOT MELT 14 Glue Sticks for DIY and Craft Work,89.00,3.5 out of 5 stars,59,https://www.amazon.in//GLUN-Transparent-MELT-Sticks-Craft/dp/B07KVMPND4?_encoding=UTF8&psc=1
NISUN Leather Pocket Sized Business/Credit/ATM Card Holder case Wallet with Magnetic Shut for Gift Brown (1 Pack),299.00,4.3 out of 5 stars,210,https://www.amazon.in//NISUN-Leather-Business-Card-Magnetic/dp/B07B8DG86C?_encoding=UTF8&psc=1
Cello Finegrip Ball Pen Set - Pack of 25 (Blue),110.00,3.9 out of 5 stars,352,https://www.amazon.in//Cello-Finegrip-Ball-Pen-Set/dp/B074VD1BVV?_encoding=UTF8&psc=1
"Camlin Kokuyo Brush Pen, 12 Shades (Multicolor)",195.00,4.1 out of 5 stars,206,https://www.amazon.in//Camlin-Kokuyo-Brush-Shades-Multicolor/dp/B01N9CXEM2?_encoding=UTF8&psc=1
Cello Mayfair Ball Point Pen Set - Pack of 25 (Blue),111.00,4.3 out of 5 stars,104,https://www.amazon.in//Cello-Mayfair-Ball-Point-Pen/dp/B07DC7PJVS?_encoding=UTF8&psc=1
Casio FX-991ES Plus Scientific Calculator,992.00,4.5 out of 5 stars,985,https://www.amazon.in//Casio-FX-991ES-Plus-Scientific-Calculator/dp/B0034BAQS8?_encoding=UTF8&psc=1
Whitelily Magnetic Duster For Erasing Marker Or Chalk Writing No Marker Provided,49.00,3.7 out of 5 stars,191,https://www.amazon.in//Whitelily-Magnetic-Erasing-Writing-Provided/dp/B01388XB60?_encoding=UTF8&psc=1
"JK Copier Paper - A4, 500 Sheets, 75 GSM, 1 Ream",Rs. 235.00,3.8 out of 5 stars,274,https://www.amazon.in//JK-Copier-Paper-Sheets-Ream/dp/B00MVV81MK?_encoding=UTF8&psc=1
Parker Beta Millenium GT Ball Point Pen Gift Set - With Swiss Knife,176.00,3.2 out of 5 stars,362,https://www.amazon.in//Parker-Beta-Millenium-Ball-Point/dp/B010BJEIOI?_encoding=UTF8&psc=1
"Camel Camlin Kokuyo Acrylic Color Box - 9ml Tubes, 12 Shades",309.00,4.4 out of 5 stars,91,https://www.amazon.in//Camel-Camlin-Kokuyo-Acrylic-Color/dp/B00KIE28X0?_encoding=UTF8&psc=1
Pilot V7 Liquid Ink Roller Ball Pen (1 Blue + 1 Black + 1 Red),116.00,4.2 out of 5 stars,177,https://www.amazon.in//Pilot-Liquid-Roller-Ball-Black/dp/B00LOD6Y20?_encoding=UTF8&psc=1
Glun Hot Melt Clear Glue Sticks (Pack of 25),189.00,3.6 out of 5 stars,17,https://www.amazon.in//GLUN-Melt-Clear-Glue-Sticks/dp/B07D564DRD?_encoding=UTF8&psc=1
Apsara Marvel Avengers Extra Dark Pencils - Pack of 10,99.00,4.2 out of 5 stars,119,https://www.amazon.in//Apsara-Marvel-Avengers-Extra-Pencils/dp/B07CZMPXBM?_encoding=UTF8&psc=1
Cello Technotip Ball Pen Set - Pack of 10 (Black),85.00,4.1 out of 5 stars,122,https://www.amazon.in//Cello-Technotip-Ball-Pen-Set/dp/B074VD18P2?_encoding=UTF8&psc=1
"Pilot V7 Hi-Tecpoint Roller Ball Pen with Cartridge System - 2 Black Pens, 4 Black Cartridges",112.00,4.4 out of 5 stars,214,https://www.amazon.in//Pilot-Hi-tecpoint-Roller-Cartridge-System/dp/B0108IPDAK?_encoding=UTF8&psc=1
"Classmate 2100117 Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages",145.00,3.6 out of 5 stars,86,https://www.amazon.in//Classmate-Premium-Subject-Notebook-Single/dp/B00LZLPYHW?_encoding=UTF8&psc=1
"Pilot V7 Liquid Ink Roller Ball Pen - Blue Body, Blue Ink (Pack of 3)",150.00,4.5 out of 5 stars,226,https://www.amazon.in//Pilot-Liquid-Ink-Roller-Ball/dp/B00LOD799W?_encoding=UTF8&psc=1
Uniball Air Micro 188M (Set Of 4 Blue Pens),240.00,4.2 out of 5 stars,128,https://www.amazon.in//Uniball-Micro-188M-Blue-Pens/dp/B078JPLXJ7?_encoding=UTF8&psc=1
Cello Butterflow Ball Pen Set - Pack of 10 (Blue),100.00,4.1 out of 5 stars,318,https://www.amazon.in//Cello-Butterflow-Ball-Pen-Set/dp/B07D4MYZFH?_encoding=UTF8&psc=1
"Pilot V5 Pen Liquid Ink Roller Ball Pen - Pack of 3, Blue",150.00,4.2 out of 5 stars,268,https://www.amazon.in//Pilot-Pen-Liquid-Roller-Ball/dp/B00LOD6S3K?_encoding=UTF8&psc=1
HomeStrap Cotton Canvas Board Medium Grain 8 X 10 Inch - Pack of 4 - White,279.00,4.0 out of 5 stars,51,https://www.amazon.in//HomeStrap-Medium-Grain-Canvas-Board/dp/B07D4DCVZ8?_encoding=UTF8&psc=1
Pilot V7 Liquid Ink Roller Ball Pen (2 Blue + 1 Black),116.00,4.3 out of 5 stars,192,https://www.amazon.in//Pilot-Liquid-Roller-Ball-Black/dp/B00LOD70SC?_encoding=UTF8&psc=1
Casio FX-991EX Scientific Calculator (Black),"1,087.00",4.6 out of 5 stars,409,https://www.amazon.in//Casio-FX-991EX-Scientific-Calculator-Black/dp/B011UK5DGY?_encoding=UTF8&psc=1
"Sakura 57454 Gelly Roll Classic Ass't (05/08/10) 3pk Pen, White",165.00,4.2 out of 5 stars,47,https://www.amazon.in//Sakura-57454-Gelly-Classic-White/dp/B075VLP8XF?_encoding=UTF8&psc=1
"AmazonBasics Classic Notebook, Ruled - (130mm x 210mm) - 240 pages (Black)",299.00,4.0 out of 5 stars,838,https://www.amazon.in//AmazonBasics-Classic-Notebook-Ruled-130mm/dp/B01DN8TCEU?_encoding=UTF8&psc=1
