Product,Price,Rating,No. of reviews,Link
"Pedigree Adult Wet Dog Food, Chicken and Liver Chunks in Gravy, 80 g (Pack of 15)",420.00,4.5 out of 5 stars,796,https://www.amazon.in//Pedigree-Adult-Chicken-Liver-Chunks/dp/B012CKSPKM?_encoding=UTF8&psc=1
"Meat Up Chicken Flavour, Real Chicken Biscuit, Dog Treats -500g Jar (Buy 1 Get 1 Free)",199.00,4.0 out of 5 stars,570,https://www.amazon.in//Meatup-Chicken-Flavour-Biscuit-Treats/dp/B079T87VW1?_encoding=UTF8&psc=1
"Meat Up Chicken Flavour, Real Chicken Biscuit, Dog Treats - 1kg Jar (Buy 1 Get 1 Free)",299.00,4.0 out of 5 stars,295,https://www.amazon.in//Meatup-Chicken-Flavour-Biscuit-Treats/dp/B079T88XLM?_encoding=UTF8&psc=1
"Pedigree Puppy Dry Dog Food, Chicken & Milk – 3 kg Pack",579.00,4.1 out of 5 stars,564,https://www.amazon.in//Pedigree-Puppy-Food-Chicken-Milk/dp/B00LHS8MX6?_encoding=UTF8&psc=1
"Whiskas Kitten Dry Cat Food, Ocean Fish Flavour – 1.1 kg Pack",360.00,4.4 out of 5 stars,595,https://www.amazon.in//Whiskas-Kitten-Food-Ocean-Flavour/dp/B00LHULLKA?_encoding=UTF8&psc=1
"Drools Chicken and Egg Adult Dog Food, 3 kg with Free 1.2 kg",472.00,3.9 out of 5 stars,690,https://www.amazon.in//Drools-Chicken-Adult-Food-Free/dp/B07HBMB3WW?_encoding=UTF8&psc=1
"Nootie Freshly Baked Cookie, Real Chicken and Peanut Butter, 1kg",128.00,3.7 out of 5 stars,844,https://www.amazon.in//Nootie-Freshly-Cookie-Chicken-Peanut/dp/B013QIM63G?_encoding=UTF8&psc=1
"Pedigree Adult Dry Dog Food, Chicken & Vegetables – 10 kg Pack","1,479.00",4.1 out of 5 stars,299,https://www.amazon.in//Pedigree-Adult-Food-Chicken-Vegetables/dp/B00LHS8JZ2?_encoding=UTF8&psc=1
"Pedigree Puppy Wet Dog Food, Chicken Chunks in Gravy, 80g (Pack of 15)",420.00,4.5 out of 5 stars,548,https://www.amazon.in//Pedigree-Puppy-Chicken-Chunks-Gravy/dp/B012CKSFPW?_encoding=UTF8&psc=1
"Meat Up Adult Dog Food, 3 kg (Buy 1 Get 1 Free)",630.00,3.6 out of 5 stars,785,https://www.amazon.in//Meat-Up-Adult-Food-Free/dp/B075WWBTYQ?_encoding=UTF8&psc=1
"Pedigree Adult Dry Dog Food, Chicken & Vegetables – 3 kg Pack",551.00,4.1 out of 5 stars,464,https://www.amazon.in//Pedigree-Adult-Food-Chicken-Vegetables/dp/B00LHS8I3A?_encoding=UTF8&psc=1
"Pedigree Adult Dry Dog Food, Meat & Rice – 10 kg Pack","1,650.00",4.2 out of 5 stars,920,https://www.amazon.in//Pedigree-Adult-Food-Meat-Rice/dp/B00LHS8XD0?_encoding=UTF8&psc=1
