Product,Price,Rating,No. of reviews,Link
Sparx Men's Flip-Flops and House Slippers,279.00 -    329.50,4.2 out of 5 stars,"2,292",https://www.amazon.in//Sparx-Mens-Flip-Flops-House-Slippers/dp/B00J03H2OA
Doctor Extra Soft Slippers For Women - Orange,135.00 -    299.00,4.1 out of 5 stars,"1,314",https://www.amazon.in//Doctor-Extra-Soft-Slippers-Women/dp/B074D18FPY
"layasa Men's Air Series Mesh Casual,Walking,Running/Gymwear Shoes",399.00 -    499.00,3.2 out of 5 stars,122,https://www.amazon.in//layasa-Casual-Walking-Running-Gymwear/dp/B07M5NJLZF
ASIAN Shoes Wonder-13 Grey Firozi Mesh Shoes,448.00 -    699.00,4.1 out of 5 stars,"3,009",https://www.amazon.in//ASIAN-Shoes-Wonder-13-Grey-Firozi/dp/B01MXNVPUM
Puma Men's Sneakers,"1,795.00 -    2,957.00",3.2 out of 5 stars,4,https://www.amazon.in//Puma-Mens-Sneakers/dp/B07FYNSQ3S
Deals4you Men's Running Sports Shoes,324.00 -    499.00,3.1 out of 5 stars,210,https://www.amazon.in//Deals4you-Mens-Running-Sports-Shoes/dp/B07H59HZGN
Lotto Men's Vertigo Running Shoes,"873.00 -    2,499.00",4.1 out of 5 stars,"3,003",https://www.amazon.in//Lotto-Mens-Vertigo-Running-Shoes/dp/B072X4QB4D
Emosis Men Tan Brown Black Colour Outdoor Formal Casual Ethnic Loafer Slip-On Sandal Shoe,449.00 -    499.00,3.7 out of 5 stars,246,https://www.amazon.in//Emosis-Stylish-Colour-Outdoor-Formal/dp/B07F9BJRRP
Sparx Men's Flip-Flops and House Slippers,212.00 -    345.00,4.2 out of 5 stars,"2,338",https://www.amazon.in//Sparx-Mens-Flip-Flops-House-Slippers/dp/B00PID54TG
Sparx Men's Sm-323 Dip Canvas Shoes - Black,599.00 -    849.00,4.3 out of 5 stars,"2,020",https://www.amazon.in//Sparx-Mens-Sm-323-Canvas-Shoes/dp/B077N1B1DF
ETHICS Perfect Ultra Lite Sport Shoes for Men,399.00 -    449.00,3.2 out of 5 stars,331,https://www.amazon.in//Ethics-Perfect-Navy-Sport-Shoes/dp/B0796W248M
Force 10 (from Liberty) Unisex School Shoes,350.00 -    619.00,3.9 out of 5 stars,278,https://www.amazon.in//Force-10-Liberty-Unisex-School/dp/B01KTRH3NK
Lancer Men's Running Shoes,469.00 -    549.00,4.0 out of 5 stars,695,https://www.amazon.in//Lancer-Mens-Running-Shoes/dp/B07FDDRYJ6
Essence Men's Vc 3101 High Top Synthetic Shoes - Black,499.00,3.7 out of 5 stars,663,https://www.amazon.in//Essence-Mens-3101-Synthetic-Shoes/dp/B01MQOAB7V
Puma Men's Shoes,"1,086.00 -    1,999.00",4.0 out of 5 stars,12,https://www.amazon.in//Puma-Mens-Shoes/dp/B07FZ5L87X
Sparx Men's Sandals,"699.00 -    1,048.00",3.9 out of 5 stars,353,https://www.amazon.in//Sparx-SS0453G-Mens-Sandals/dp/B072JGSYQ8
Freedom Daisy Men's Canvas Casual Shoes Sneaker- Blue,261.00 -    499.00,3.1 out of 5 stars,531,https://www.amazon.in//Freedom-Daisy-Canvas-Casual-Sneaker/dp/B071ZXJTWQ
Angel Fashion Lightening Sandal Clogs for Men with Free Leather Key Chain,210.00 -    380.00,3.5 out of 5 stars,115,https://www.amazon.in//Angel-Fashion-Lightening-Sandal-Leather/dp/B07FRBTQLQ
Sparx Men's Running Shoes,722.00 -    899.00,4.2 out of 5 stars,954,https://www.amazon.in//Sparx-Sparx-SM_277-P-Running-Shoes/dp/B01N3U8K9O
Sparx Men's Flip-Flops and House Slippers,269.00 -    399.00,4.2 out of 5 stars,"1,634",https://www.amazon.in//Sparx-Mens-Flip-Flops-House-Slippers/dp/B00J03IE3S
Sparx Men's Flip-Flops and House Slippers,309.00 -    549.00,4.0 out of 5 stars,"2,354",https://www.amazon.in//Sparx-Mens-Flip-Flops-House-Slippers/dp/B00N2RW9W0
"BFC-Women's Handbag, Sling Bag with Adjustable Strap for Ladies and Girls.",350.00 -    548.00,3.4 out of 5 stars,216,https://www.amazon.in//BFC-Womens-Handbag-Adjustable-Ladies-Girls/dp/B07C47PYBF
Knoos Men's Comfort Casual Loafers,499.00,3.5 out of 5 stars,192,https://www.amazon.in//Knoos-Mens-Comfort-Casual-Loafers/dp/B07H96KVK7
ESSENCE Men's Synthetic High Top Shoes,499.00,3.7 out of 5 stars,341,https://www.amazon.in//ESSENCE-Mens-Synthetic-High-Shoes/dp/B01N1KJ8CJ
"Denill Latest Collection, Comfortable & Fashionable Sneaker Shoes for Women's and Girl's",449.00 -    599.00,4.0 out of 5 stars,192,https://www.amazon.in//Denill-Collection-Comfortable-Fashionable-Sneaker/dp/B07BH3Y9M3
SHC Men's Sports Shoes Sneaker,243.00 -    499.00,3.5 out of 5 stars,24,https://www.amazon.in//SHC-Mens-Sports-Shoes-Sneaker/dp/B07MG5DR15
Levi's Men's Olympic Malibu Sneakers,"496.00 -    1,399.00",4.0 out of 5 stars,3,https://www.amazon.in//Levis-Mens-Olympic-Malibu-Sneakers/dp/B07G728SF7
BFC- Buy for change Fancy Stylish Elegant Women's Cross Body Sling Bag,237.00 -    499.00,3.3 out of 5 stars,303,https://www.amazon.in//change-Fancy-Stylish-Elegant-Womens/dp/B076HV4TX2
women marks Women's Tan PU Handbag,475.00,4.0 out of 5 stars,278,https://www.amazon.in//WOMEN-MARKS-TAN-COLOR-HANDBAG/dp/B074W16PMG?_encoding=UTF8&psc=1
United Colors of Benetton Men's EVA Flip-Flops and House Slippers,305.00 -    499.00,4.0 out of 5 stars,"1,315",https://www.amazon.in//United-Colors-Benetton-Flip-Flops-Slippers/dp/B00Q4N7XC0
FASHIMO Women Casual Shoes,299.00 -    489.00,3.8 out of 5 stars,418,https://www.amazon.in//FASHIMO-Women-Casual-Shoes/dp/B07LFYQ9XR
Sparx Men's Athletic and Outdoor Sandals,715.00 -    999.00,3.9 out of 5 stars,"1,413",https://www.amazon.in//Sparx-Mens-Athletic-Outdoor-Sandals/dp/B00N2SJOIG
Kraasa Men's Synthetic Slide SL5137 Slippers,359.00,3.6 out of 5 stars,442,https://www.amazon.in//Kraasa-Synthetic-Slide-SL5137-Slippers/dp/B077LR2GJ8
